Category,Sub Cat 1,Sub Cat 2,Product Code,Product Title,Sub Title,Product Price Description,Temperature Range,Refrigerant,Refrigerant Charge,Defrost,Shelves,Baskets,Int Finish,Ext Finish,Power,kWh/24hr,Watts,Noise Level dB,Max Ambient,Reversible Door,Climate Class,Capacity Ltr,Capacity Cuft,Ext H,Ext W,Ext D,Weight KG,Int H,Int W,Int D,Pack H,Pack W,Pack D,Packed Weight KG,Features,Thumbnail,Image,Image Caption,Packed Image,Packed Image Caption,Diagram,Diagram Caption,PDF Page No,Order,Catalogue Supplier Name,Next Day Delivery,Delivery Group,Special Installation,Site Survey,New,Sales Description,Fresh Fish,Fresh Meat,Price,Nett,Resale,Manufacturer,TaxID,Differences,Width Feature,Depth Feature,Height Feature
Chilled Display,Upright Glass Door Chillers,,FS1380 L/H,FS1380 Range,Glass Door Merchandiser,White Left Hand Hinged,0.1,R134a,200,Off Cycle,7,,White,White,13 Amp,3.2,295,45,25C at 60% RH,Yes,3,372ltr,13.1,1840,595,600,81,1552,470,450,1940,680,710,85,*Fully automatic*Fan assisted cooling*Lock*Adjustable shelves*Adjustable feet*Interior light with switch*Temperature display*Replaceable door gasket,,fs1380lh-stocked-11.jpg;fs1380lh-11.jpg,FS1380 L/H Hinged Stocked;FS1380 L/H Hinged,,,,,,,Tefcold,Y,GROUP 2,No,No,,,,,584,402.96,441.0368,2,1,,595mm,600mm,1840mm
Chilled Display,Upright Glass Door Chillers,Wine Coolers,FS1380W,FS1380W,Wine Cooler,Brown Glass Door,0.1,R134a,200,Off Cycle,6+Base Rack,,White,Brown,13 Amp,3.2,295,45,25C at 60% RH,Yes,3,372ltr,13.1,1840,595,600,81,1552,470,450,1940,680,710,85,*Fully automatic*Fan assisted cooling*Lock*Adjustable shelves*Adjustable feet*Interior light with switch*Temperature display*Replaceable door gasket*Displays up to 78 wine bottles*Different designs/shapes of 75cl bottle may affect how many bottles can be stocked in the unit,,fs1380w-stocked-03.jpg,FS1380W,fs1380w-pkd-11.jpg,FS1380W Packed,,,016a.pdf,,Tefcold,Y,GROUP 2,No,No,,"The FS1380 Wine cooler is based on the ever popular FS1380 cabinet with a brown exterior and wine shelves. With wine shelves that can take a double layer of bottles you can fit in an impressive 78 wine bottles. As with all the FS1380 range, cooler quality and reliability comes as standard and the price won't break the bank.  Please note that odd shaped wine bottles and champagne bottles may not be suitable for this cabinet or may affect storage capacity.",,,765,527.85,577.728,2,1,,595mm,600mm,1840mm
Chilled Display,Upright Glass Door Chillers,,FSC1380,FSC1380,Glass Door Merchandiser,White Glass Door,0.1,R134a,200,Off Cycle,5,,White,White,13 Amp,3.36,295,45,25C at 60% RH,Yes,3,372ltr,13.1,1980,595,600,84,1552,470,450,2080,680,710,87,*Fully automatic*Fan assisted cooling*Lock*Adjustable shelves*Adjustable feet*Interior light with switch*Temperature display*Light canopy with switch*Replaceable door gasket,,fsc1380-stocked-07.jpg,FSC1380,fsc1380-pkd-11.jpg,FSC1380 Packed,,,018a.pdf,,Tefcold,Y,GROUP 2,No,No,,The FSC1380 take the quality and reliability of the FS1380 and adds a light canopy on top. Ideal for adding your own branding. The light canopy and interior light can individually be switched off to save energy when your business is closed.,,,694,478.86,524.1088,2,1,,595mm,600mm,1980mm
Chilled Display,Upright Glass Door Chillers,,GBC375,GBC Range,Glass Door Merchandiser,White,0.1,R600a,110,Off Cycle,5,,White,White,13 Amp,1.4,295,40,25C at 60% RH,Yes,3,372ltr,13.1,1840,595,600,81,1552,470,450,1940,680,710,85,*Fully automatic*Fan assisted cooling*Lock*Adjustable shelves*Adjustable feet*LED interior light with switch*Temperature display*Replaceable door gasket,gbc-range-14.jpg,gbc375-12.jpg,GBC375,gbc375-pkd-12.jpg,GBC375 Packed,,,020.pdf,,Tefcold,Y,GROUP 2,No,No,,Built using the same ethos of quality and reliability as the FS1380. The GBC range is the next evolutionary step by Tefcold. With a sleeker door profile and digital temperature display the design helps it stand out from the crowd whilst giving reliable cooling for your drinks and sandwiches. Ideal for shop and caf?s. Available with or without a light canopy.,,,716,494.04,540.7232,2,1,,595mm,600mm,1840mm
Chilled Display,Upright Glass Door Chillers,,GBC375CP,GBC Range,Glass Door Merchandiser,White,0.1,R600a,110,Off Cycle,5,,White,White,13 Amp,1.49,295,40,25C at 60% RH,Yes,3,372ltr,13.1,1980,595,600,82,1552,470,450,2080,680,710,91,*Fully automatic*Fan assisted cooling*Lock*Adjustable shelves*Adjustable feet*LED interior light with switch*Temperature display*Light canopy with switch*Replaceable door gasket,,gbc375cp-12.jpg,GBC375CP,,,,,,Y,Tefcold,Y,GROUP 2,No,No,,,,,763,526.47,576.2176,2,1,,595mm,600mm,1980mm
Chilled Display,Upright Glass Door Chillers,,SUPER 76 COKE,Super 76 Coke,Glass Door Merchandiser,Branded,0.25,R600a,,Automatic,5,,Aluminium,Red,13 Amp,0,,,25C at 60% RH,,3,422ltr,14.9,2000,595,611,92,1546,520,546,,,,108,*Fully automatic*Fan assisted cooling*Adjustable shelves*Adjustable feet*Interior light with switch*Light canopy with switch*Replaceable door gasket,,sup76-coke-15.jpg,Super 76 Coke,super-76-coke-pkd-11.jpg,Super 76 Coke Packed,,,,,Frigoglass,Y,BRAND 2,No,No,,,,,1150,793.5,868.48,2,1,Y,595mm,611mm,2000mm
Chilled Display,Upright Glass Door Chillers,,FSC1450,FSC1450,Glass Door Merchandiser,White,0.1,R134a,200,Off Cycle,6,,White,White,13 Amp,4.62,360,49,25C at 60% RH,Yes,3,438ltr,15.5,2107,680,605,97,1515,555,510,2200,770,720,107,*Fully automatic*Fan assisted cooling*Lock*Adjustable shelves*Adjustable feet*Interior light with switch*Temperature display*Light canopy with switch*Replaceable door gasket,,fsc1450-stocked-11.jpg,FSC1450 Stocked,fsc1450-pkd-11.jpg,FSC1450 Packed,,,020a.pdf,,Tefcold,Y,GROUP 2,No,No,,If you need a glass door cooler with more capacity than the FSC1380 then the FSC1450 may be ideal for you. With a capacity of 438 litres this is a great way to maximise storage and display of products. Ideal for adding your own branding with a light canopy to the top.,,,799,551.31,603.4048,2,1,,680mm,605mm,2107mm
Chilled Display,Upright Glass Door Chillers,,G49CD,Global 49CD,Glass Door Merchandiser,White Glass Door,0.25,R134a,225,Manual,4,,White,White or Stainless Steel,13 Amp,7.12,420,58,25C at 60% RH,No,3,380ltr,13.4,1900,595,695,86,1547,522,560,2015,610,745,94,*Fully automatic*Fan assisted cooling*Adjustable shelves*Adjustable feet*Interior light*Digital temperature display*Replaceable door gasket,,g49cd-stocked-12.jpg;g49cd-12.jpg,G49CD Stocked;G49CD,,,,,021.pdf,,Derby,Y,GROUP 2,No,No,,The Derby G49 from a well respected and long established manufacturer. It's simple clean design with interior light and temperature display all help towards displaying product in the best possible way.,,,724,499.56,546.7648,2,1,,595mm,695mm,1900mm
Chilled Display,Upright Glass Door Chillers,,CBC401,CBC401,Glass Door Merchandiser,White Glass Door,0.25,R134a,225,Off Cycle,5,,White,White,13 Amp,5.67,442,57,25C at 60% RH,Factory Option,3,380ltr,13.4,1900,595,695,94,1556,515,554,2015,610,745,94,*Fully automatic*Fan assisted cooling*Adjustable shelves*Adjustable feet*Interior light with switch*Temperature display*Replaceable door gasket,,cbc401-stocked-12.jpg;cbc401-12.jpg,CBC401 Stocked;CBC401,,,,,022.pdf,,Caravell,Y,GROUP 2,No,No,,Caravell have been market leader for many years with an excellent range of glass door coolers. The CBC401 with fan assisted cooling and automatic operation is ideal for any shop of cafe for chilling drinks and sandwiches.,,,750,517.5,566.4,2,1,,595mm,695mm,1900mm
Chilled Display,Upright Glass Door Chillers,,CBC603,CBC Range,Glass Door Merchandiser,White Sliding Door,0.25,R134a,260,Off Cycle,5,,White,White,13 Amp,8.93,620,64,25C at 60% RH,,3,778ltr,27.5,2010,880,750,154,1361,805,615,2120,917,790,154,*Fully automatic*Fan assisted cooling*Lock*Adjustable full width shelves*Adjustable feet*Interior light with switch*Digital temperature display*Self closing doors*Light canopy with switch,cbc-range-14.jpg,cbc603-stocked-13.jpg;cbc603-13.jpg,CBC603 Stocked;CBC603,cbc603-pkd-12.jpg,CBC603 Packed,,,022a.pdf,,Caravell,Y,GROUP 3,No,No,,"The CBC double door range from Caravell are a very popular choice. With Caravell's build quality and reliability and a few extra features that you don't see on many double door coolers. Self closing door help save energy and the unit has a lock fitted as standard. The light canopy makes it ideal for branding. Ideal for busy shops, off licences and caf?s and suitable for drinks, milk and sandwiches.",,,1355,934.95,1023.296,2,1,Y,880mm,750mm,2010mm
Chilled Display,Upright Glass Door Chillers,,CBC803,CBC Range,Glass Door Merchandiser,White Sliding Door,0.25,R134a,305,Off Cycle,5,,White,White,13 Amp,8,450,65,25C at 60% RH,,3,858ltr,30.3,2010,1100,694,169,1330,1025,530,2120,1137,750,169,*Fully automatic*Fan assisted cooling*Lock*Adjustable full width shelves*Adjustable feet*Interior light with switch*Digital temperature display*Self closing doors*Light canopy with switch,,cbc803-stocked-13.jpg;cbc803-13.jpg,CBC803 Stocked;CBC803,,,,,,,Caravell,Y,GROUP 3,No,No,,,,,1378,950.82,1040.6656,2,1,Y,1100mm,694mm,2010mm
Chilled Display,Upright Glass Door Chillers,,CR1130S,CR1130S,Glass Door Merchandiser,White Glass Door,0.125,R134a,390,Timed Off Cycle,4 Per Door,,White,White,13 Amp,8.76,750,56.5,25C at 60% RH,,3,1000ltr,35.31,2023,1130,700,136,1361,1030,503,2100,1180,750,155,*Fully automatic*Fan assisted cooling*Lock*Adjustable shelves*Castors 2 lockable*Interior light with switch*Temperature display*Self closing doors with stay open feature for ease of loading*Light canopy with switch,,cr1130s-stocked-14.jpg;cr1130s-14.jpg;cr1130s-lock-14.jpg;cr1130s-controller-14.jpg;cr1130s-fans-14.jpg;cr1130s-castor-14.jpg;cr1130s-switches-14.jpg,CR1130S Stocked;CR1130S;Lock;Controller;Fan Assisted Cooling;Castors with Lock;Light Switches,cr1130s-pkd-14.jpg,CR1130S Packed,cr1130s-dia-14.jpg,CR1130S Diagram,021a.pdf,,Interlevin,Y,GROUP 3,,,Y,The CR1130S from Interlevin is ideal for shops and convenience stores. A large sliding glass double door chiller with self closing doors (with a lock). Generous display area with sturdy adjustable shelves (4 per door). Fan assisted cooling ensures even temperature over the whole cabinet. It even comes fitted with locking castors so you can move the cabinet easily for cleaning.,,,1185,817.65,894.912,2,1,Y,1130mm,700mm,2023mm
Chilled Display,Upright Glass Door Chillers,,FS1000S,FS Range,Glass Door Merchandiser,White Sliding Door,0.1,R134a,450,Automatic,4 + Base,,Hammered Aluminium,White,13 Amp,8,670,48,25C at 60% RH,,3,800ltr,28.24,2010,1000,735,159,1555,890,573,2050,1080,750,164,*Fully automatic*Fan assisted cooling*Adjustable full width shelves*Adjustable feet with rollers to rear*Interior light with switch*Digital temperature display*Self closing doors,fs-range-14.jpg,fs1000s-stocked-13.jpg;fs1000s-13.jpg,FS1000S Stocked; FS1000S,,,,,024.pdf,,Tefcold,Y,GROUP 3,No,No,,The FS1000S and FS1200S fill a gap in the market for people who don't want a light canopy on their double door coolers. It gives a little more interior height and makes for a cleaner looking cabinet. In a choice of widths and with Tefcold's build quality and reliability as standard these units have become a popular choice for shop and cafe owners.,,,1310,903.9,989.312,2,1,Y,1000mm,735mm,2010mm
Chilled Display,Upright Glass Door Chillers,,FS1200S,FS Range,Glass Door Merchandiser,White Sliding Door,0.1,R134a,460,Automatic,4 + Base,,Hammered Aluminium,White,13 Amp,10,740,48,25C at 60% RH,,3,895ltr,31.61,2010,1200,735,171,1555,1090,573,2050,1250,840,175.5,*Fully automatic*Fan assisted cooling*Adjustable full width shelves*Adjustable feet with rollers to rear*Interior light with switch*Digital temperature display*Self closing doors,,fs1200s-13.jpg,FS1200S,,,,,,,Tefcold,Y,GROUP 3,No,No,,,,,1442,994.98,1088.9984,2,1,Y,1200mm,735mm,2010mm
Chilled Display,Upright Glass Door Chillers,Bar and Counter Display Chillers,FS1500H,FS1500H,Glass Door Merchandiser,Black Glass Door,0.1,R134a,480,Automatic,4 Per door,,Black,Black,13 Amp,7.21,820,45,30C at 55% RH,,4,1208ltr,42.65,2044,1500,720,,1361,1390,571,2065,1555,750,0,*Fully automatic*Fan assisted cooling*Adjustable shelves*Adjustable feet*LED interior light with switch*Digital controller and temperature display,,fs1500-15.jpg,FS1500H,,,fs1500h-dia-15.jpg,FS1500H Diagram,025.pdf,,Tefcold,,GROUP 3,Yes,,Y,"An excellent triple door cooler from Tefcold. Finished in black it gives a great alternative to white units and will look great in shops, supermarkets as well as a large upright back bar in pubs and restaurants where you want to make a big visual impact with a drink and wine display.",,,2795,1928.55,2110.784,2,1,,1500mm,720mm,2044mm
Chilled Display,Upright Glass Door Chillers,,LGC2500,LGC Range,Glass Door Merchandiser,White Glass Door,0.125,R134a,300,Off Cycle,4,,White,White,13 Amp,3.94,280,57.5,30C at 55% RH,No,4,496ltr,17.51,2055,690,800,115,1520,565,640,2260,745,860,135,*Fully automatic*Fan assisted cooling*Auto defrost*Lock*Adjustable shelves*Castors with locking feet*LED interior light with switch (2 LED strips per door)*Digital controller and temperature display*Self closing door with stay open feature for ease of  loading*LED light canopy with switch*Replaceable door gasket*Internal stainless steel base,lgc-range-14.jpg,lgc2500-stocked-14.jpg;lgc2500-14.jpg,LGC2500 Stocked;LGC2500,lgc2500-pkd-14.jpg,LGC2500 Packed,lgc-dia-14.jpg;lgc2500-dia-14.jpg,LGC Diagram; LGC2500 Diagram (front and top),023.pdf,,Interlevin,Y,GROUP 2,,,Y,"The Interlevin LGC range of glass door chillers gives you an option of matching single, double and triple door models (with matching freezers - see LGF range). These robust cabinets come with some great features. Each door has 2 vertical LED light strips for excellent internal illumination. The base inside the unit is stainless steel for easy cleaning of the cabinet. The carefully designed refrigeration system is energy efficient to keep down running costs. The cabinets are ideal for branding with the LED illuminated canopy. Lastly all units come fitted with castors so you can easily move the unit (for cleaning etc). There are also locking feet so it can be fixed in place. All round a versatile quality unit at great price.",,,1048,723.12,791.4496,2,1,,690mm,800mm,2055mm
Chilled Display,Upright Glass Door Chillers,,LGC5000,LGC Range,Glass Door Merchandiser,White Glass Door,0.125,R134a,400,Off Cycle,4 Per Door,,White,White,13 Amp,7.59,400,58.2,30C at 55% RH,,4,1108ltr,39.12,2055,1382,800,190,1520,1262,640,2180,1430,860,210,*Fully automatic*Fan assisted cooling*Auto defrost*Lock*Adjustable shelves*Castors with locking feet*LED interior light with switch (2 LED strips per door)*Digital controller and temperature display*Self closing doors with stay open feature for ease of loading *LED light canopy with switch*Replaceable door gasket*Internal stainless steel base,,lgc5000-stocked-14.jpg;lgc5000-14.jpg,LGC5000 Stocked;LGC5000,lgc5000-pkd-14.jpg,LGC5000 Packed,lgc5000-dia-14.jpg,LGC5000 Diagram (front and top),,,Interlevin,Y,GROUP 3,,,Y,,,,1475,1017.75,1113.92,2,1,Y,1382mm,800mm,2055mm
Chilled Display,Upright Glass Door Chillers,,LGC7500,LGC Range,Glass Door Merchandiser,White Glass Door,0.125,R134a,560,Off Cycle,4 Per Door,,White,White,13 Amp,11.52,650,60.2,30C at 55% RH,,4,2050ltr,72.39,2055,2079,800,230,1520,1959,640,2150,2130,860,245,*Fully automatic*Fan assisted cooling*Auto defrost*Lock*Adjustable shelves*Castors with locking feet*LED interior light with switch (2 LED strips per door)*Digital controller and temperature display*Self closing doors with stay open feature for ease of loading*LED light canopy with switch*Replaceable door gasket*Internal stainless steel base,,lgc7500-stocked-14.jpg;lgc7500-14.jpg;lgc-controller-14.jpg;lgc-int-led-14.jpg;lgc-interior-14.jpg;lgc-lock-14.jpg;lgc-fans-14.jpg;lgc-castors-14.jpg,LGC7500 Stocked;LGC7500;Controller;LED Interior lighting - 2 strips per door;Stainless steel interior base;Lock;Fan assisted cooing;Castors,lgc7500-pkd-14.jpg,LGC7500 Packed,lgc7500-dia-14.jpg,LGC7500 Diagram (front and top),,,Interlevin,,GROUP 4,,,Y,,,,2278,1571.82,1720.3456,2,1,,2079mm,800mm,2055mm
Chilled Display,Upright Glass Door Chillers,,FSC1000H,FSC H Range,Glass Door Merchandiser,White Hinged Door,0.1,R134a,450,Automatic,4  + Base Shelf,,Hammered Aluminium,White,13 Amp,5.96,700,48,25C at 60% RH,,3,796ltr,28.1,2010,1000,790,178,1533,890,670,2100,1080,840,183,*Fully automatic*Fan assisted cooling*Adjustable full width shelves*Adjustable feet with rollers to rear*Interior light with switch*Temperature display*Self closing doors*Light canopy with switch*Replaceable door gasket,fsc-h-range-14.jpg,fsc1000h-stocked-13.jpg;fsc1000h-13.jpg,FSC1000H Stocked;FSC1000H,,,,,026.pdf,,Tefcold,Y,GROUP 3,No,No,,"The FSC-H range combines a quality unit at a very competitive price. Excellent build quality with sturdy hinged door, excellent internal lighting and a light canopy that you can add your own branding to if required.",,,1365,941.85,1030.848,2,1,Y,1000mm,790mm,2010mm
Chilled Display,Upright Glass Door Chillers,,FSC1200H,FSC H Range,Glass Door Merchandiser,White Hinged Door,0.1,R134a,450,Automatic,4  + Base Shelf,,Hammered Aluminium,White,13 Amp,6.8,850,48,25C at 60% RH,,3,970ltr,34.2,2010,1200,790,183,1533,1090,670,2100,1250,840,189,*Fully automatic*Fan assisted cooling*Adjustable full width shelves*Adjustable feet with rollers to rear*Interior light with switch*Temperature display*Self closing doors*Light canopy with switch*Replaceable door gasket,,fsc1200h-stocked-13.jpg;fsc1200h-13.jpg,FSC1200H Stocked;FSC1200H,fsc1200h-pkd-11.jpg,FSC1200H Packed,,,,,Tefcold,Y,GROUP 3,No,No,,,,,1514,1044.66,1143.3728,2,1,Y,1200mm,790mm,2010mm
Chilled Display,Upright Glass Door Chillers,,FSC1000S,FSC S Range,Glass Door Merchandiser,White Sliding Door,0.1,R134a,450,Automatic,4  + Base Shelf,,Hammered Aluminium,White,13 Amp,5.96,700,48,25C at 60% RH,,3,771ltr,27.2,2010,1000,740,178,1533,890,572,2100,1080,840,183,*Fully automatic*Fan assisted cooling*Adjustable full width shelves*Adjustable feet with rollers to rear*Interior light with switch*Temperature display*Self closing doors*Light canopy with switch,fsc-s-range-14.jpg,fsc1000s-stocked-13.jpg;fsc1000s-13.jpg,FSC1000S Stocked;FSC1000S,,,,,027.pdf,,Tefcold,Y,GROUP 3,No,No,,"Two sizes of double sliding door coolers. The FSC1000S and FSC1200S are versatile units suitable for drinks, dairy (milk, cheese etc) and sandwiches. Fan assisted cooling  vertical interior lights and self closing doors make it ideal for supermarkets, shops and cafes",,,1310,903.9,989.312,2,1,Y,1000mm,740mm,2010mm
Chilled Display,Upright Glass Door Chillers,,FSC1200S,FSC S Range,Glass Door Merchandiser,White Sliding Door,0.1,R134a,450,Automatic,4  + Base Shelf,,Hammered Aluminium,White,13 Amp,6.8,850,48,25C at 60% RH,,3,945ltr,33.4,2010,1200,740,183,1533,1090,572,2100,1250,840,189,*Fully automatic*Fan assisted cooling*Adjustable full width shelves*Adjustable feet with rollers to rear*Interior light with switch*Temperature display*Self closing doors*Light canopy with switch,,fsc1200s-11.jpg,FSC1200S,fsc1200s-pkd-11.jpg,FSC1200S Packed,,,,,Tefcold,Y,GROUP 3,No,No,,,,,1442,994.98,1088.9984,2,1,Y,1200mm,740mm,2010mm
Chilled Display,Upright Glass Door Chillers,,EIS42,EIS42,Glass Door Merchandiser,White Glass Door,0.083333333,R134a,250,Off Cycle,4,,White,White/Cream,13 Amp,3.1,350,56,25C at 60% RH,No,3,404ltr,14.3,1957,670,610,98,1300,550,410,2050,720,695,125,*Fully automatic*Fan assisted cooling*Adjustable shelves*Adjustable feet*Interior light with switch*Temperature display*Light canopy with switch*Replaceable door gasket,,eis42-stocked-11.jpg;eis42-11.jpg,EIS42 Stocked;EIS42,eis42-pkd-11.jpg,EIS42 Packed,eis42-dia-08.jpg,EIS42 Diagram,,Y,IARP,Y,GROUP 2,No,No,,The beautifully designed EIS42 from IARP. The cream sculpted doors and grill make this not only a great looking cooler but backed up with IARP's reputation for quality and reliability it is one of the best units on the market.,,,1320,910.8,996.864,2,1,,670mm,610mm,1957mm
Chilled Display,Upright Glass Door Chillers,,EIS104,EIS104,Glass Door Merchandiser,White Sliding Door,0.083333333,R134a,483,Off Cycle,5 Per Door,,White,White/Black,13 Amp,5.74,795,58,25C at 60% RH,,3,1040ltr,36.7,2000,1110,820,205,1328,990,555,2060,1130,850,225,*Fully automatic*Fan assisted cooling*Lock*Adjustable shelves (split level)*Adjustable feet*Interior light with switch*Temperature display*Light canopy with switch,,eis104-stocked-06.jpg,EIS104 Stocked,eis104-pkd-11.jpg,EIS104 Packed,eis104-dia-08.jpg,EIS104 Diagram,,Y,IARP,,GROUP 3,No,No,,Italian made EIS104 by IARP. This premium double door cooler with vertical lighting and lock fitted as standard is ideal for shops and supermarkets who demand one of the best brands on the market.,,,2377,1640.13,1795.1104,2,1,,1110mm,820mm,2000mm
Chilled Display,Wine Coolers,Upright Glass Door Chillers,WL5/122S,WL Range,Premium Wine Cooler,Stainless Glass Door,0.25,R404a,,Electric,4 Per door,,Mirror Stainless Steel,Stainless Steel,13 Amp,0,,43,25C at 60% RH,,3,400ltr,14.1,2200,825,500,135,1530,650,400,2350,950,650,155,"*Fully automatic*Fan assisted cooling*Lock*Adjustable shelves*Adjustable feet*LED interior light with switch*Digital controller and temperature display*Replaceable door gasket*Quiet running (less than 43dB)*Suitable for red or white wine* WL5/222S has dual compartment with separate temperature control (possibility of keeping red and white wine in the same cabinet)*Cabinets come with 4 flat shelves, other options available",wl-range-14.jpg,wl5-122s-13.jpg,WL5-122S,,,,,,Y,Interlevin Italia Range,,GROUP 2,Yes,Yes,,The high end Wine Library from Interlevin. Made from only the best materials available on the market. Stainless construction with mirror finish interior this cooler would be a great addition to any premium restaurant wanting to display its wine in the best possible way. Everything about this cabinet is about quality. From the crisp LED lighting to the silenced refrigeration system (only 43dB)  Various options are available for cooling red or white wine. The WL5-222S with dual temperature zone can cool both red and white wines at the temperature you need for the perfect serve. There are also multiple shelving options to display your wine in the best possible way.,,,7183,4956.27,5424.6016,2,1,,825mm,500mm,2200mm
Chilled Display,Wine Coolers,Upright Glass Door Chillers,WL5/222S,WL Range,Premium Wine Cooler,Stainless Glass Door,0.25,R404a,,Electric,4 Per door,,Mirror Stainless Steel,Stainless Steel,13 Amp,0,,43,25C at 60% RH,,3,800ltr,28.2,2200,1550,500,240,1530,1300,400,2350,1700,650,270,"*Fully automatic*Fan assisted cooling*Lock*Adjustable shelves*Adjustable feet*LED interior light with switch*Digital controller and temperature display*Replaceable door gasket*Quiet running (less than 43dB)*Suitable for red or white wine* WL5/222S has dual compartment with separate temperature control (possibility of keeping red and white wine in the same cabinet)*Cabinets come with 4 flat shelves, other options available",,wl5-222s-13.jpg;wl-temp-display.jpg,WL5-222S;Digital Controller,,,,,,Y,Interlevin Italia Range,,GROUP 3,Yes,Yes,,,,,10397,7173.93,7851.8144,2,1,,1550mm,500mm,2200mm
Chilled Display,Upright Glass Door Chillers,,EIS214,EIS214,Glass Door Merchandiser,White Sliding Door,0.333333333,R134a,740,Off Cycle,5 Per Door,,White,White/Black,13 Amp,11.6,1680,61,25C at 60% RH,,3,2040ltr,72,2000,1970,820,331,1328,1850,555,2130,2100,910,390,*Fully automatic*Fan assisted cooling*Lock*Adjustable shelves (split level)*Adjustable feet*Interior light with switch*Temperature display*Light canopy with switch,,eis214-stocked-06.jpg,EIS214,eis214-pkd-11.jpg,EIS214 Packed,eis214-dia-08.jpg,EIS214 Diagram,,Y,IARP,,GROUP 4,No,No,,Make the most of your shop's space with this triple door refrigerator from IARP. The EIS214 is a great choice if you want a large display but don't want to have an open front multideck. The glass doors will help save energy over an open fronted unit and also the self closing sliding doors have locks as standard.,,,3898,2689.62,2943.7696,2,1,,1970mm,820mm,2000mm
Chilled Display,Upright Glass Door Chillers,,EX500PT,EXPO500PT,Glass Door Merchandiser,White Glass Door,0.25,R134a,240,Off Cycle,5,,White,White,13 Amp,8.4,400,,30C at 55% RH,No,4,472ltr,16.7,1990,668,685,106,1440,598,513,2100,745,705,118,*Fully automatic*Fan assisted cooling*Adjustable shelves*Adjustable feet*Interior light with switch*Temperature display*Light canopy with switch*Replaceable door gasket,,ex500pt-stocked-07.jpg,EXPO500PT Stocked,ex500pt-pkd-11.jpg,EX500PT Packed,,,028.pdf,,Framec,Y,GROUP 2,No,No,,"Framec make some of the best fridges in the world. Based in Italy they have a reputation for quality and reliability. The EXPO500PT is a premium glass door merchandiser. Fan assisted cooling, vertical interior lighting combined with an excellent refrigeration system make this the choice for people who want one of the best glass door coolers on the market. There are matching freezers to go with this unit (EXPO430NV and EXPO1100NV)",,,1453,1002.57,1097.3056,2,1,,668mm,685mm,1990mm
Chilled Display,Upright Glass Door Chillers,,EX1100PT,EXPO1100PT,Glass Door Merchandiser,White Glass Door,0.25,R134a,390,Off Cycle,5 Per Door,,White,White,13 Amp,12,800,,30C at 55% RH,,4,1047ltr,37,1990,1346,765,197,1525,1221,571,2090,1410,765,215,*Fully automatic*Fan assisted cooling*Adjustable shelves (split level)*Adjustable feet*Interior light with switch*Temperature display*Light canopy with switch*Replaceable door gasket,,ex1100pt-stocked-07.jpg,EXPO1100PT Stocked,ex1100pt-pkd-11.jpg,EX1100PT Packed,,,028a.pdf,,Framec,Y,GROUP 3,No,No,,"Framec make some of the best fridges in the world. Based in Italy they have a reputation for quality and reliability. The EXPO1100PT is a premium glass door merchandiser. Fan assisted cooling, vertical interior lighting combined with an excellent refrigeration system make this the choice for people who want one of the best glass door coolers on the market. There are matching freezers to go with this unit (EXPO430NV and EXPO1100NV)",,,2850,1966.5,2152.32,2,1,Y,1346mm,765mm,1990mm
Chilled Display,Upright Glass Door Chillers,,HD690,HD Range,Glass Door Merchandiser,White Hinged Door,0.1,R134a,250,Off Cycle,4 to 8,,White,White,13 Amp,7.59,452,57,40C at 60% RH,No,5,525ltr,18.5,2020,690,635,117,1380,600,550,,,,119,*Fully automatic*Fan assisted cooling*Adjustable shelves (split level)*Adjustable feet*Interior light with switch*Temperature display*Light canopy with switch*Replaceable door gasket*Energy saving low E glass*HD1140 & HD1360 are ECA approved,hd-range-14.jpg,hd690-stocked-03.jpg,HD690 Stocked,hd690-pkd-11.jpg,HD690 Packed,,,029.pdf,,Staycold,Y,GROUP 2,No,No,,The Staycold HD range is made in South Africa and is designed to cope with their hot and often humid environment. Their units are able to work in a scorching ambient of up to 40C. This combined with their excellent build quality has gained them a reputation in the UK for building long lasting units that keep product at the right temperature especially when the weather gets hot. Intelligent use of high efficiency compressor &  Low E glass for energy saving all adds up to an excellent package.  (The HD1140 and HD1360 are both on the Energy Technology list and are ECA approved),,,1194,823.86,901.7088,2,1,Y,690mm,635mm,2020mm
Chilled Display,Upright Glass Door Chillers,,HD890,HD Range,Glass Door Merchandiser,White Hinged Door,0.1,R134a,350,Off Cycle,4 to 8,,White,White,13 Amp,8.78,523,57,40C at 60% RH,,5,700ltr,24.7,2020,890,635,152,1380,800,550,,,,154,*Fully automatic*Fan assisted cooling*Adjustable shelves (split level)*Adjustable feet*Interior light with switch*Temperature display*Light canopy with switch*Replaceable door gasket*Energy saving low E glass*HD1140 & HD1360 are ECA approved,,hd890-stocked-03.jpg,HD890 Stocked,,,,,,,Staycold,Y,GROUP 3,No,No,,,,,1452,1001.88,1096.5504,2,1,Y,890mm,635mm,2020mm
