Item Code,Brand,Item Title,Image Filename,Width,Depth,Height,Sales Description,Volume,Packed Weight,Nett Price
CF2,Cobra,400mm Single Tank Twin Basket Gas Fryer,CF2_AU_HR.png,400,800,1085,"400mm single pan gas fryer<br>18 litre oil capacity<br>85,303 Btu/hr multi-jet target burner<br>Mechanical thermostat<br>Manual pilot ignition<br>Stainless steel finish<br>Adjustable front feet and rear rollers<br>Two baskets and stainless steel lid supplied",0.54m,n/a,700
E22M3,Turbofan,Half Size Sheet Pan Manual Electric Convection Oven,E22M3_UK_HR.png;E22M3_SK23_UK_HR.png,610,608,552,3 x 460mm x 330mm half size sheet pan<br>3 x GN 2/3 tray<br>70 mm tray spacing<br>Single direction low-velocity fan<br>Power ON control panel indicator<br>Mechanical thermostat 50-260C<br>Heating ON control panel indicator<br>Manual 60 minute timer<br>Time-up control panel indicator and buzzer<br>Single phase connection,0.34m,48,700
E23M3,Turbofan,Half Size Sheet Pan Manual Electric Convection Oven,E23M3_UK_HR.png;E23M3_SK23_UK_HR.png,610,642,607,3 x 460mm x 330mm half size sheet pan capacity<br>3 x GN 2/3 tray capacity<br>85 mm tray spacing<br>Bi-directional fan<br>Power ON control panel indicator<br>Mechanical thermostat 50-260C<br>Heating ON control panel indicator<br>Manual 60 minute timer<br>Time-up control panel indicator and buzzer<br>Over temperature safety cut-out<br>Single phase connection,0.34m,54.6,800
E27M2,Turbofan,Full Size Sheet Pan Manual Electric Convection Oven,E27M2_UK_HR.png;E27M2_SK2731U_UK_HR.png,810,762,607,2 x 460mm x 660mm full size sheet pan capacity<br>2 x 600mm x 400mm tray capacity<br>115mm tray spacing<br>Bi-directional fan<br>Power ON control panel indicator<br>Mechanical thermostat 50-260C<br>Heating ON control panel indicator<br>Manual 60 minute timer<br>Time-Up control panel indicator and buzzer<br>Over-temperature safety cut-out<br>Single phase connection,0.55m,77.8,900
E27M3,Turbofan,Full Size Sheet Pan Manual Electric Convection Oven,E27M3_UK_HR.png;E27M3_SK2731U_UK_HR.png,810,762,607,3 x 460mm x 660mm full size sheet pan capacity<br>3 x 600mm x 400mm tray capacity<br>85mm tray spacing<br>Bi-directional fan<br>Power ON control panel indicator<br>Mechanical thermostat 50-260C<br>Heating ON control panel indicator<br>Manual 60 minute timer<br>Time-Up control panel indicator and buzzer<br>Over-temperature safety cut-out<br>Single phase connection,0.55m,79.5,1000
E28M4,Turbofan,Full Size Sheet Pan Manual Electric Convection Oven,E28M4_UK_HR.png;E28M4_SK2731U_UK_HR.png,810,762,662,4 x 460mm x 660mm full size sheet pan capacity<br>4 x 600mm x 400mm tray capacity<br>80mm tray spacing<br>Twin bi-directional fan<br>Power ON control panel indicator<br>Mechanical thermostat 50-260C<br>Heating ON control panel indicator<br>Manual 60 minute timer<br>Time-Up control panel indicator and buzzer<br>Over-temperature safety cut-out<br>Single phase connection,0.55m,86.5,1400
E31D4,Turbofan,Half Size Sheet Digital Electric Convection Oven,E31D4_UK_HR.png;E31D4_SK2731U_UK_HR.png,810,616,625,"4 x 1/1 GN pan capacity<br>80mm tray spacing<br>Single direction low-velocity fan<br>Electronic controls with digital time and temperature display<br>Manual or program modes<br>Large 3/4"" high LED display<br>Broil / Grill mode quick select key<br>Thermostat range 50-260C<br>Time range from 180 minutes in countdown mode<br>Over-temperature safety cut-out<br>Single phase connection",0.45m,68.2,1000
E32D4,Turbofan,Full Size Sheet Pan Digital Electric Convection Oven,E32D4_UK_HR.png;E32D4_SK32_UK_HR.png;E32D4_P8M_UK_HR.png;E32D4_P12M_UK_HR.png,735,810,730,4 x 460mm x 660mm full size sheet pan capacity<br>4 x 600mm x 400mm tray capacity with 110mm tray spacing<br>2 speed bi-directional reversing fan system<br>Compact 735mm width<br>Electronic timer with countdown or time count modes<br>Electronic thermostat control<br>Program and manual modes<br>Large 20mm high LED display<br>6.3kW heating power<br>Vitreous enameled oven chamber<br>Thermostatic range 50 - 260C<br>Safe-touch vented side hinged door<br>Moisture injection mode (5 levels) and manual injection<br>Over-temperature safety cut-out<br>Single phase connection,0.57m,105,1850
E33D5,Turbofan,Digital Electric Convection Oven,E33D5_UK.png,610,680,730,5 x 1/1 GN Gastronorm tray capacity<br>85mm tray spacing<br>2 speed bi-directional reversing fan system<br>Electronic controls with digital time and temperature display<br>Manual or program modes<br>Large 20mm high LED display<br>Moisture injection mode (5 levels)<br>Thermostatic range 50-260C<br>Timer range from 180 minutes in countdown mode<br>Over-temperature safety cut-out<br>Single phase connection,0.44m,93,1500
G32D4,Turbofan,Full Size Tray Digital Gas Convection Oven,G32D4_UK_HR.png;G32D4_SK32_UK_HR.png;G32D4_P8M_UK_HR.png,735,810,910,4 x 460mm x 660mm full size sheet pan capacity<br>4 x 600mm x 400mm tray capacity 110mm tray spacing<br>35MJ/hr infrared burner system<br>Bi-directional fan<br>Electronic controls with digital time and temperature display<br>Manual or program modes<br>Large 20mm high LED display<br>Water injection key<br>Thermostatic range 50-260C<br>Timer range from 180 minutes in countdown mode<br>Over-temperature safety cut-out<br>Single phase connection,0.71m,131,2150
P8M,Turbofan,Full Size Tray Manual Electric Prover and Holding Cabinet,P8M_UK_HR.png;E32D4_P8M_UK_HR.png;G32D4_P8M_UK_HR.png,735,810,914,8 x 460mm x 660mm full size sheet pan capacity<br>16 x 460mm x 330mm half size sheet pan capacity<br>8 x 600mm or 400mm tray capacity<br>76mm tray spacing<br>Low velocity circulation fan<br>Off / prover / hold mode selection dial<br>Mechanical thermostat 20-85C<br>Air heating ON control panel indicator<br>Humidity level control<br>Humidity tank ON control panel indicator<br>Cabinet temperature thermometer<br>Auto-fill water system standard<br>Single phase connection,0.76m,95.3,1810
P10M,Turbofan,Full Size Sheet Pan Manual Electric Prover and Holding Cabinet,P10_UK_HR.png,610,680,1015,10 1/1 GN Gastronorm pan capacity<br>74mm tray spacing<br>Low velocity circulation fan<br>Off / prover / hold mode selection dial<br>Mechanical thermostat 20-85C<br>Air heating ON control panel indicator<br>Humidity level control<br>Humidity tank ON control panel indicator<br>Cabinet temperature thermometer<br>Auto-fill water system standard<br>Single phase connection,0.64m,95.3,
