ProductCode,Title,Short Description,Long Description,Purpose,Temperature,Height,Width,Depth,Capacity,note1,note2,note3,note4,note5,note6,note7,note8,note9,note10,note11,note12,2016 List Price,2016 Nett Price,(Model Code),,,Final Nett,Width Feature,Depth Feature,Height Feature
LR200,LR200 Freezer Undercounter Cabinet,LR200 Freezer Undercounter Cabinet,Undercounter refrigeration ensures optimum use of space in tight kitchen areas and none more so than Foster's high performance low cost range of undercounter cabinets,General Storage Freezing,Freezer -18/-21 C,824,684,755,200,Decibel rating measured 1m high from the floor and 1m from the cabinet,"Note, for airflow ensure that 25mm clearance is allowed above the cabinet",Meets ISO Climate Class 5 up to 43 C Ambient,,,,,,,,,,1686,843,13/112,13112.jpg,Freezer Undercounter Cabinet,817.71,684mm,755mm,824mm
HR240,HR240 Space Saver Refrigerated Undercounter Cabinet,HR240 Space Saver Refrigerated Undercounter Cabinet,Undercounter refrigeration ensures optimum use of space in tight kitchen areas and none more so than Foster's high performance low cost range of undercounter cabinets,General Storage Refrigeration,Refrigerator +1/+4 C,895,870,745,240,External cabinet depth excludes 25mm door handle,"Note, for airflow ensure that 25mm clearance is allowed above the cabinet",Decibel rating measured 1m high from the floor and 1m from the cabinet,,,,,,,,,,2810,1405,13/124,13124.jpg,Space Saver Refrigerated Undercounter Cabinet,1362.85,870mm,745mm,895mm
LR240,LR240 Space Saver Freezer Undercounter Cabinet,LR240 Space Saver Freezer Undercounter Cabinet,Undercounter refrigeration ensures optimum use of space in tight kitchen areas and none more so than Foster's high performance low cost range of undercounter cabinets,General Storage Freezing,Freezer -18/-21 C,895,870,745,240,External cabinet depth excludes 25mm door handle,"Note, for airflow ensure that 25mm clearance is allowed above the cabinet",Decibel rating measured 1m high from the floor and 1m from the cabinet,,,,,,,,,,3196,1598,13/125,13125.jpg,Space Saver Freezer Undercounter Cabinet,1550.06,870mm,745mm,895mm
HR360,HR360 Refrigerated Undercounter Cabinet,HR360 Refrigerated Undercounter Cabinet,Undercounter refrigeration ensures optimum use of space in tight kitchen areas and none more so than Foster's high performance low cost range of undercounter cabinets,General Storage Refrigeration,Refrigerator +3/+5 C,824,1217,755,360,Decibel rating measured 1m high from the floor and 1m from the cabinet,"Note, for airflow ensure that 25mm clearance is allowed above the cabinet",Hydrocarbon not available on glass door option,,,,,,,,,,2188,1094,13/116,13116.jpg,Refrigerated Undercounter Cabinet,1061.18,1217mm,755mm,824mm
LR360,LR360 Freezer Undercounter Cabinet,LR360 Freezer Undercounter Cabinet,Undercounter refrigeration ensures optimum use of space in tight kitchen areas and none more so than Foster's high performance low cost range of undercounter cabinets,General Storage Freezing,Freezer -18/-21 C,824,1217,755,360,Decibel rating measured 1m high from the floor and 1m from the cabinet,"Note, for airflow ensure that 25mm clearance is allowed above the cabinet",,,,,,,,,,,2410,1205,13/118,13118.jpg,Freezer Undercounter Cabinet,1168.85,1217mm,755mm,824mm
FPS2HR,FPS2HR Refrigerated Prep Counter,FPS2HR Refrigerated Prep Counter,Foster's Prep Station range offers a universal solution to the key area of food preparation of pizzas sandwiches salads starters desserts or ethic dishes,Preparation,Refrigerator +1/+4 C,1060,1140,850,270,Pan Storage Temperature +3/+5 C,Pan Holders take pans up to a maximum 150mm depth,Gastronorm pans are not supplied as standard with Prep Station - please order separately,Decibel rating measured 1m high from the floor and 1m from the cabinet,,,,,,,,,4790,2395,15/101,15101.jpg,Refrigerated Prep Counter,2323.15,1140mm,850mm,1060mm
FPS3HR,FPS3HR Refrigerated Prep Counter,FPS3HR Refrigerated Prep Counter,Foster's Prep Station range offers a universal solution to the key area of food preparation of pizzas sandwiches salads starters desserts or ethic dishes,Preparation,Refrigerator +1/+4 C,1060,1140,850,270,Pan Storage Temperature +3/+5 C,Pan Holders take pans up to a maximum 150mm depth,Gastronorm pans are not supplied as standard with Prep Station - please order separately,Decibel rating measured 1m high from the floor and 1m from the cabinet,,,,,,,,,6220,3110,15/107,15107.jpg,Refrigerated Prep Counter,3016.7,1140mm,850mm,1060mm
FPS1/3HR-101,FPS1/3HR-101 Refrigerated Prep Counter,FPS1/3HR-101 Refrigerated Prep Counter,Foster's Prep Station range offers a universal solution to the key area of food preparation of pizzas sandwiches salads starters desserts or ethic dishes,Preparation ,Refrigerator +1/+4 C,1060,1140,850,270,3 door gastronorm storage prep station with roller blind,Includes 6 x GN1/1 shelves along with capacity for 7 x GN1/3 pans,Gastronorm pans are not supplied as standard with Prep Station - please order separately,Decibel rating measured 1m high from the floor and 1m from the cabinet,,,,,,,,,6432,3216,15/113,15113.jpg,Refrigerated Prep Counter,3119.52,1140mm,850mm,1060mm
FPS4HR,FPS4HR Refrigerated Prep Counter,FPS4HR Refrigerated Prep Counter,Foster's Prep Station range offers a universal solution to the key area of food preparation of pizzas sandwiches salads starters desserts or ethic dishes,Preparation,Refrigerator +1/+4 C,1060,1140,850,270,Pan Storage Temperature +3/+5 C,Pan Holders take pans up to a maximum 150mm depth,Gastronorm pans are not supplied as standard with Prep Station - please order separately,Decibel rating measured 1m high from the floor and 1m from the cabinet,,,,,,,,,7650,3825,15/114,15114.jpg,Refrigerated Prep Counter,3710.25,1140mm,850mm,1060mm
FPS5HR,FPS5HR Refrigerated Prep Counter,FPS5HR Refrigerated Prep Counter,Foster's Prep Station range offers a universal solution to the key area of food preparation of pizzas sandwiches salads starters desserts or ethic dishes,Preparation,Refrigerator +1/+4 C,1060,1140,850,270,Pan Storage Temperature +3/+5 C,Pan Holders take pans up to a maximum 150mm depth,Gastronorm pans are not supplied as standard with Prep Station - please order separately,Decibel rating measured 1m high from the floor and 1m from the cabinet,,,,,,,,,9078,4539,15/120,15120.jpg,Refrigerated Prep Counter,4402.83,1140mm,850mm,1060mm
HR360FT,HR360FT Refrigerated Prep Table,HR360FT Refrigerated Prep Table,The competitively priced Foster Prep Table range combines under counter storage with easy access to pans in the worktop making it ideal for food preparation such as salads sandwiches and starters.,Preparation,Refrigerator +1/+4 C,1060,1140,850,270,Door Handle adds 20mm to depth,Height includes 100mm Splashback,Decibel rating measured 1m high from the floor and 1m from the cabinet,,,,,,,,,,3018,1509,16/101,16101.jpg,Refrigerated Prep Table,1463.73,1140mm,850mm,1060mm
BCT11,BCT11 Blast Chiller Cabinet,BCT15-7 15Kg Blast Chiller/Freezer Cabinet,The Foster tray loading blast chiller range provides the ideal way to ensure quality and food safety is maximised in every kitchen large or small. Featuring the all new touch screen controller for even easier use.,Blast Chilling - Freezing,Blast Chiller/Freezer,890,755,690,15,Chilling Capacity - 11 KG. Chilling capacity 70 C to 3 C in less than 90 minutes within specifications entry temperature up to 90 C for chilling. Freezing capacity from + 70 C to -18 C in less than 240 minutes within specifications,,,,,,,,,,,,5496,2748,17/170,17170.jpg,Blast Chiller Cabinet,2665.56,755mm,690mm,890mm
BCFT11,BCFT11 Blast Chiller/Freezer Cabinet,BFT15 15Kg Blast Freezer Cabinet,The Foster tray loading blast chiller range provides the ideal way to ensure quality and food safety is maximised in every kitchen large or small. Featuring the all new touch screen controller for even easier use.,Blast Chilling - Freezing,Blast Freezer,890,755,690,15,Chilling Capacity - 11 KG Freezing Capacity - 11 KG. Chilling capacity 70 C to 3 C in less than 90 minutes within specifications entry temperature up to 90 C for chilling. Freezing capacity from + 70 C to -18 C in less than 240 minutes within specificat,,,,,,,,,,,,5842,2921,17/174,17174.jpg,Blast Chiller/Freezer Cabinet,2833.37,755mm,690mm,890mm
BCT21,BCT21 Blast Chiller Cabinet,BCT22-12 21Kg Blast Chiller/Freezer Cabinet,The Foster tray loading blast chiller range provides the ideal way to ensure quality and food safety is maximised in every kitchen large or small. Featuring the all new touch screen controller for even easier use.,Blast Chilling - Freezing,Blast Chiller/Freezer,1530,755,690,22,Chilling Capacity - 21 KG. Chilling capacity 70 C to 3 C in less than 90 minutes within specifications entry temperature up to 90 C for chilling. Freezing capacity from + 70 C to -18 C in less than 240 minutes within specifications,,,,,,,,,,,,6534,3267,17/171,17171.jpg,Blast Chiller Cabinet,3168.99,755mm,690mm,1530mm
BCFT21,BCFT21 Blast Chiller/Freezer Cabinet,BFT22 22Kg Blast Freeze Cabinet,The Foster tray loading blast chiller range provides the ideal way to ensure quality and food safety is maximised in every kitchen large or small. Featuring the all new touch screen controller for even easier use.,Blast Chilling - Freezing,Blast Freezer,1530,755,690,22,Chilling Capacity - 21 KG Freezing Capacity - 21 KG. Chilling capacity 70 C to 3 C in less than 90 minutes within specifications entry temperature up to 90 C for chilling. Freezing capacity from + 70 C to -18 C in less than 240 minutes within specificat,,,,,,,,,,,,6712,3356,17/175,17175.jpg,Blast Chiller/Freezer Cabinet,3255.32,755mm,690mm,1530mm
BCT36,BCT36 Blast Chiller Cabinet,BCT38-18 38Kg Blast Chiller/Freezer Cabinet,The Foster tray loading blast chiller range provides the ideal way to ensure quality and food safety is maximised in every kitchen large or small. Featuring the all new touch screen controller for even easier use.,Blast Chilling - Freezing,Blast Chiller/Freezer,1515,755,690,38,Chilling Capacity - 36 KG. Chilling capacity 70 C to 3 C in less than 90 minutes within specifications entry temperature up to 90 C for chilling. Freezing capacity from + 70 C to -18 C in less than 240 minutes within specifications,,,,,,,,,,,,8100,4050,17/172,17172.jpg,Blast Chiller Cabinet,3928.5,755mm,690mm,1515mm
BCFT36,BCFT36 Blast Chiller/Freezer Cabinet,BFT38 38Kg Blast Freeze Cabinet,The Foster tray loading blast chiller range provides the ideal way to ensure quality and food safety is maximised in every kitchen large or small. Featuring the all new touch screen controller for even easier use.,Blast Chilling - Freezing,Blast Freezer,1515,755,690,38,Chilling Capacity - 36 KG Freezing Capacity - 36 KG. Chilling capacity 70 C to 3 C in less than 90 minutes within specifications entry temperature up to 90 C for chilling. Freezing capacity from + 70 C to -18 C in less than 240 minutes within specificat,,,,,,,,,,,,9000,4500,17/176,17176.jpg,Blast Chiller/Freezer Cabinet,4365,755mm,690mm,1515mm
BCT51,BCT51 Blast Chiller Cabinet,BCT52-26 52Kg Blast Chiller/Freezer Cabinet,The Foster tray loading blast chiller range provides the ideal way to ensure quality and food safety is maximised in every kitchen large or small. Featuring the all new touch screen controller for even easier use.,Blast Chilling - Freezing,Blast Chiller/Freezer,1805,755,690,52,Chilling Capacity - 51 KG. Chilling capacity 70 C to 3 C in less than 90 minutes within specifications entry temperature up to 90 C for chilling. Freezing capacity from + 70 C to -18 C in less than 240 minutes within specifications,,,,,,,,,,,,9400,4700,17/173,17173.jpg,Blast Chiller Cabinet,4559,755mm,690mm,1805mm
BCFT51,BCFT51 Blast Chiller/Freezer Cabinet,BFT52 52Kg Blast Freeze Cabinet,The Foster tray loading blast chiller range provides the ideal way to ensure quality and food safety is maximised in every kitchen large or small. Featuring the all new touch screen controller for even easier use.,Blast Chilling - Freezing,Blast Freezer,1805,755,690,52,Chilling Capacity - 51 KG Freezing Capacity - 51 KG. Chilling capacity 70 C to 3 C in less than 90 minutes within specifications entry temperature up to 90 C for chilling. Freezing capacity from + 70 C to -18 C in less than 240 minutes within specificat,,,,,,,,,,,,9814,4907,17/177,17177.jpg,Blast Chiller/Freezer Cabinet,4759.79,755mm,690mm,1805mm
CT75,CT75 Controlled Thaw Cabinet,CT75 Controlled Thaw Cabinet,Controlled Thaw cabinets alternate between circulating gentle heat and refrigeration via special air ducting and fans ensuring an even speedy and safe thaw,Blast Chilling - Freezing,Controlled Thaw,2080,700,820,75,,,,,,,,,,,,,7222,3611,17/169,17169.jpg,Controlled Thaw Cabinet,3502.67,700mm,820mm,2080mm
RBC20-60,RBC20-60 Roll-In Blast Chiller Cabinet,RBC20-60 Roll-In Blast Chiller Cabinet (Integral Refrigeration System),A specially designed Blast Chiller that accepts the 201 Trolley from the Rational Self Cooking Centre. This new model is part of Foster Refrigerator s revolutionary range of Blast Chillers that features breakthrough technology,Blast Chilling - Freezing,Roll In Cabinet Blast Chiller (Integral),2190,980,865,60,"Requires connection to external drain. 1 "" BSP Drain outlet",Chilling Capacity - 60 KG. Chilling capacity 90 C to 3 C in less than 90 minutes within specifications. Entry temperature of up to 90 C for chilling. Freezing capacity from + 70 C to -18 C in less than 240 minutes within specifications,Maximum Ambient 43 C. Twin Compressor condensing unit housed and dressed for specific application for the RBC 20-60 R,"Dimensions, For ventilation and service access ensure that 400mm minimum clearance is allowed above the RBC 20-60","Condensing Units, For condensing units glycol cooling and alternative voltage availability please contact the Foster Sales Team",,,,,,,,17006,8503,17/118,17118.jpg,Roll-In Blast Chiller Cabinet,8247.91,980mm,865mm,2190mm
BCCFRI1,BCCFRI1 Roll-In Blast Chiller/Freezer Cabinet,BCCFRI1 Roll-In Blast Chiller/Freezer Cabinet,Our range of Roll-In Blast Chillers accepts a range of standard combi trolleys meaning less handling between cooking and chilling. No need to transfer or de-tray simply wheel the combi trolley straight into the Blast Chiller,Blast Chilling - Freezing,Roll In Cabinet Blast Chiller (Remote),2250,865,1135,75,"Requires connection to external drain. 1 "" BSP Drain outlet",Chilling Capacity - 75 KG Freezing Capacity - 15 KG. Chilling capacity 90 C to 3 C in less than 90 minutes within specifications. Entry temperature of up to 90 C for chilling. Freezing capacity from + 70 C to -18 C in less than 240 minutes within specifi,Maximum Ambient 43 C. Twin Compressor condensing unit housed and dressed for specific application for the RBC 20-60 R,For ventilation and service access ensure that 400mm minimum clearance is allowed above the RBC 20-60,"Condensing Units, For condensing units glycol cooling and alternative voltage availability please contact the Foster Sales Team",,,,,,,,10652,5326,17/120,17120.jpg,Roll-In Blast Chiller/Freezer Cabinet,5166.22,865mm,1135mm,2250mm
EPRO20BSR,Pro 20 Tray Upright Refrigerator Cabinet,EP20BSR Single Door Refrigerated Bakery Cabinet,The Foster Bakery Range helps you plan and prepare your production to overcome the peaks and troughs associated with every bakery ensuring you make the very best use of your time and available storage space.,Bakery,Refrigerator +1/+4 C,2070,700,915,600,Bakers trays not supplied as standard,"All the above models are built to take 30"" x 18"" trays as standard. If it is required to take 60 x 40 cm trays please specify this at the time of ordering by adding a 'C' prefix eg. C PRO 20 DR",Extra pairs of stainless steel trayslides available,,,,,,,,,,3948,1974,25/121,25121.jpg,Pro 20 Tray Upright Refrigerator Cabinet,1914.78,700mm,915mm,2070mm
EPRO20BSF,Pro 20 Tray Upright Cabinet,EP20BSF Single Door Freezer Bakery Cabinet,The Foster Bakery Range helps you plan and prepare your production to overcome the peaks and troughs associated with every bakery ensuring you make the very best use of your time and available storage space.,Bakery,Freezer -18/-21 C,2070,700,915,600,Bakers trays not supplied as standard,"All the above models are built to take 30"" x 18"" trays as standard. If it is required to take 60 x 40 cm trays please specify this at the time of ordering by adding a 'C' prefix eg. C PRO 20 DR",Extra pairs of stainless steel trayslides available,,,,,,,,,,5420,2710,25/125,25125.jpg,Pro 20 Tray Upright Cabinet,2628.7,700mm,915mm,2070mm
EPRO40BSR,Pro 40 Tray Upright Refrigerator Cabinet,EPR40BSR Double Door Refrigerated Bakery Cabinet,The Foster Bakery Range helps you plan and prepare your production to overcome the peaks and troughs associated with every bakery ensuring you make the very best use of your time and available storage space.,Bakery,Refrigerator +1/+4 C,2070,1440,915,,Bakers trays not supplied as standard,"All the above models are built to take 30"" x 18"" trays as standard. If it is required to take 60 x 40 cm trays please specify this at the time of ordering by adding a 'C' prefix eg. C PRO 20 DR",Extra pairs of stainless steel trayslides available,,,,,,,,,,5882,2941,25/129,25129.jpg,Pro 40 Tray Upright Refrigerator Cabinet,2852.77,1440mm,915mm,2070mm
EPRO40BSF,Pro 40 Tray Upright Cabinet,EPRO40BSF Double Door Freezer Bakery Cabinet,The Foster Bakery Range helps you plan and prepare your production to overcome the peaks and troughs associated with every bakery ensuring you make the very best use of your time and available storage space.,Bakery,Freezer -18/-21 C,2070,1440,915,,Bakers trays not supplied as standard,"All the above models are built to take 30"" x 18"" trays as standard. If it is required to take 60 x 40 cm trays please specify this at the time of ordering by adding a 'C' prefix eg. C PRO 20 DR",Extra pairs of stainless steel trayslides available,,,,,,,,,,6550,3275,25/133,25133.jpg,Pro 40 Tray Upright Cabinet,3176.75,1440mm,915mm,2070mm
PRO16DR,Pro 16 Tray Counter,Pro 16 Tray Counter,The Foster Bakery Range helps you plan and prepare your production to overcome the peaks and troughs associated with every bakery ensuring you make the very best use of your time and available storage space.,Bakery,Refrigerator -1/+4 C,865,1810,920,,Bakers trays not supplied as standard,"All the above models are built to take 30"" x 18"" trays as standard. If it is required to take 60 x 40 cm trays please specify this at the time of ordering by adding a 'C' prefix eg. C PRO 20 DR",Extra pairs of stainless steel trayslides available,,,,,,,,,,5718,2859,25/117,25117.jpg,Pro 16 Tray Counter,2773.23,1810mm,920mm,865mm
GRL1H,GRL1H Roll-In Refrigerator Cabinet,GRL1 H with Floor and ramp,Ideal for kitchens where the benefits of Gastronorm trolleys can be realised. By minimising food handling Gastronorm roll-ins can increase both kitchen efficiency and levels of hygiene and food safety,General Storage Refrigeration,Refrigerator +1/+4 C,2240,865,940,600,GN 1/1 Trolleys - option of either 325mm or 530mm width tray loading. Please specify at time of order,,,,,,,,,,,,6616,3308,24/101,24101.jpg,Roll-In Refrigerator Cabinet,3208.76,865mm,940mm,2240mm
GRL2H,GRL2H Roll-In Refrigerator Cabinet,GRL2 H with Floor and ramp,Ideal for kitchens where the benefits of Gastronorm trolleys can be realised. By minimising food handling Gastronorm roll-ins can increase both kitchen efficiency and levels of hygiene and food safety,General Storage Refrigeration,Refrigerator +1/+4 C,2240,1776,940,1350,GN 1/1 Trolleys - option of either 325mm or 530mm width tray loading. Please specify at time of order,,,,,,,,,,,,7808,3904,24/104,24104.jpg,Roll-In Refrigerator Cabinet,3786.88,1776mm,940mm,2240mm
F20,F20 Ice Cuber Unit,F20 Ice Cuber Unit,The Foster Ice Maker Range offers high output top quality ice production excellent build quality stylish good looks and a superb choice of models - all in one outstanding value-for-money package,Ice Maker,,700,385,445,,"Output, The output figures quoted are based on 10 C water input and ambient air temperature","Dimensions, Legs provided as standard to increase height for drainage where required - 180cm maximum height increase","Note, A minimum clearance of 15cm (6 in) must be left at the sides of the machine for routing cooling air drawn into and exhausted out of the compartment to maintain a proper condensing operation.",,,,,,,,,,1498,749,27/101,27101.jpg,Ice Cuber Unit,726.53,385mm,445mm,700mm
F40,F40 Ice Cuber Unit,F40 Ice Cuber Unit,The Foster Ice Maker Range offers high output top quality ice production excellent build quality stylish good looks and a superb choice of models - all in one outstanding value-for-money package,Ice Maker,,815,495,430,,"Output, The output figures quoted are based on 10 C water input and ambient air temperature","Dimensions, Legs provided as standard to increase height for drainage where required - 180cm maximum height increase","Note, A minimum clearance of 15cm (6 in) must be left at the sides of the machine for routing cooling air drawn into and exhausted out of the compartment to maintain a proper condensing operation.",,,,,,,,,,2062,1031,27/102,27102.jpg,Ice Cuber Unit,1000.07,495mm,430mm,815mm
F60,F60 Ice Cuber Unit,F60 Ice Cuber Unit,The Foster Ice Maker Range offers high output top quality ice production excellent build quality stylish good looks and a superb choice of models - all in one outstanding value-for-money package,Ice Maker,,885,690,520,,"Output, The output figures quoted are based on 10 C water input and ambient air temperature","Dimensions, Legs provided as standard to increase height for drainage where required - 180cm maximum height increase","Note, A minimum clearance of 15cm (6 in) must be left at the sides of the machine for routing cooling air drawn into and exhausted out of the compartment to maintain a proper condensing operation.",,,,,,,,,,2620,1310,27/103,27103.jpg,Ice Cuber Unit,1270.7,690mm,520mm,885mm
F85,F85 Ice Cuber Unit,F85 Ice Cuber Unit,The Foster Ice Maker Range offers high output top quality ice production excellent build quality stylish good looks and a superb choice of models - all in one outstanding value-for-money package,Ice Maker,,885,690,520,,"Output, The output figures quoted are based on 10 C water input and ambient air temperature","Dimensions, Legs provided as standard to increase height for drainage where required - 180cm maximum height increase","Note, A minimum clearance of 15cm (6 in) must be left at the sides of the machine for routing cooling air drawn into and exhausted out of the compartment to maintain a proper condensing operation.",,,,,,,,,,3078,1539,27/104,27104.jpg,Ice Cuber Unit,1492.83,690mm,520mm,885mm
FID35,FID35 Air cooled standard ice dispenser,FID35 Air cooled standard ice dispenser,The Foster Ice Maker Range offers high output top quality ice production excellent build quality stylish good looks and a superb choice of models - all in one outstanding value-for-money package,Ice Maker,,1700,380,580,13,"Output, The output figures quoted are based on 10 C water input and ambient air temperature","Dimensions, Legs provided as standard to increase height for drainage where required - 180mm maximum height increase",,,,,,,,,,,3746,1873,29/109,29109.jpg,Air cooled standard ice dispenser,1816.81,380mm,580mm,1700mm
F132-105,F132 Modular Ice Cuber Unit & SB105 Bin,F132 Modular Ice Cuber Unit & SB105 Bin,The Foster Ice Maker Range offers high output top quality ice production excellent build quality stylish good looks and a superb choice of models - all in one outstanding value-for-money package,Ice Maker,,1635,570,810,100,The output figures quoted are based on 10 C water input and ambient air temp,A distance of at least 20cm must be allowed between the sides back and the walls of the machines.,,,,,,,,,,,4554,2277,28/101,28101.jpg,Modular Ice Cuber Unit & SB105 Bin,2208.69,570mm,810mm,1635mm
F132-205,F132 Modular Ice Cuber Unit & SB205 Bin,F132 Modular Ice Cuber Unit & SB205 Bin,The Foster Ice Maker Range offers high output top quality ice production excellent build quality stylish good looks and a superb choice of models - all in one outstanding value-for-money package,Ice Maker,,1670,850,810,150,The output figures quoted are based on 10 C water input and ambient air temp,A distance of at least 20cm must be allowed between the sides back and the walls of the machines.,,,,,,,,,,,5426,2713,28/104,28104.jpg,Modular Ice Cuber Unit & SB205 Bin,2631.61,850mm,810mm,1670mm
F202-205,F202 Modular Ice Cuber Unit & SB205 Bin,F202 Modular Ice Cuber Unit & SB205 Bin,The Foster Ice Maker Range offers high output top quality ice production excellent build quality stylish good looks and a superb choice of models - all in one outstanding value-for-money package,Ice Maker,,1670,850,810,150,The output figures quoted are based on 10 C water input and ambient air temp,A distance of at least 20cm must be allowed between the sides back and the walls of the machines.,,,,,,,,,,,5310,2655,28/107,28107.jpg,Modular Ice Cuber Unit & SB205 Bin,2575.35,850mm,810mm,1670mm
F202-305,F202 Modular Ice Cuber Unit & SB305 Bin,F202 Modular Ice Cuber Unit & SB305 Bin,The Foster Ice Maker Range offers high output top quality ice production excellent build quality stylish good looks and a superb choice of models - all in one outstanding value-for-money package,Ice Maker,,1590,1078,870,210,The output figures quoted are based on 10 C water input and ambient air temp,A distance of at least 20cm must be allowed between the sides back and the walls of the machines.,,,,,,,,,,,6270,3135,28/110,28110.jpg,Modular Ice Cuber Unit & SB305 Bin,3040.95,1078mm,870mm,1590mm
F302-205,F302 Modular Ice Cuber Unit & SB205 Bin,F302 Modular Ice Cuber Unit & SB205 Bin,The Foster Ice Maker Range offers high output top quality ice production excellent build quality stylish good looks and a superb choice of models - all in one outstanding value-for-money package,Ice Maker,,1670,850,810,150,The output figures quoted are based on 10 C water input and ambient air temp,A distance of at least 20cm must be allowed between the sides back and the walls of the machines.,,,,,,,,,,,6224,3112,28/113,28113.jpg,Modular Ice Cuber Unit & SB205 Bin,3018.64,850mm,810mm,1670mm
F302-305,F302 Modular Ice Cuber Unit & SB305 Bin,F302 Modular Ice Cuber Unit & SB305 Bin,The Foster Ice Maker Range offers high output top quality ice production excellent build quality stylish good looks and a superb choice of models - all in one outstanding value-for-money package,Ice Maker,,1590,1078,870,210,The output figures quoted are based on 10 C water input and ambient air temp,A distance of at least 20cm must be allowed between the sides back and the walls of the machines.,,,,,,,,,,,7184,3592,28/116,28116.jpg,Modular Ice Cuber Unit & SB305 Bin,3484.24,1078mm,870mm,1590mm
FMIF120,FMIF120 Integral Ice Flaker Unit,FMIF120 Air Cooled Ice Flaker,The Foster Ice Maker Range offers high output top quality ice production excellent build quality stylish good looks and a superb choice of models - all in one outstanding value-for-money package,Ice Maker,,1000,680,510,27,The output figures quoted are based on 10 C water input and ambient air temp,A distance of at least 20cm must be allowed between the sides back and the walls of the machines.,,,,,,,,,,,4336,2168,29/101,29101.jpg,Integral Ice Flaker Unit,2102.96,680mm,510mm,1000mm
FMIF220-205,FMIF220 Modular Ice Flaker Unit & SB150 Bin,FMIF220 Air Cooled Ice Flaker with SB 205 Bin and Lid,The Foster Ice Maker Range offers high output top quality ice production excellent build quality stylish good looks and a superb choice of models - all in one outstanding value-for-money package,Ice Maker,,1640,850,795,,The output figures quoted are based on 10 C water input and ambient air temp,A distance of at least 20cm must be allowed between the sides back and the walls of the machines.,,,,,,,,,,,6434,3217,29/102,29102.jpg,Modular Ice Flaker Unit & SB150 Bin,3120.49,850mm,795mm,1640mm
FMIF220-305,FMIF220 Modular Ice Flaker Unit & SB210 Bin,FMIF220 Air Cooled Ice Flaker with SB 305 Bin and Lid,The Foster Ice Maker Range offers high output top quality ice production excellent build quality stylish good looks and a superb choice of models - all in one outstanding value-for-money package,Ice Maker,,1560,1078,795,210,The output figures quoted are based on 10 C water input and ambient air temp,A distance of at least 20cm must be allowed between the sides back and the walls of the machines.,,,,,,,,,,,6998,3499,29/105,29105.jpg,Modular Ice Flaker Unit & SB210 Bin,3394.03,1078mm,795mm,1560mm
F132H,F132 Modular Ice Cuber Head Only,F132 Modular Ice Cuber Head Only,The Foster Ice Maker Range offers high output top quality ice production excellent build quality stylish good looks and a superb choice of models - all in one outstanding value-for-money package,Ice Maker,,,,,,The output figures quoted are based on 10 C water input and ambient air temp,A distance of at least 20cm must be allowed between the sides back and the walls of the machines.,,,,,,,,,,,3512,1756,28/102,28102.jpg,Modular Ice Cuber Head Only,1703.32,,,
F202H,F202 Modular Ice Cuber Head Only,F202 Modular Ice Cuber Head Only,The Foster Ice Maker Range offers high output top quality ice production excellent build quality stylish good looks and a superb choice of models - all in one outstanding value-for-money package,Ice Maker,,,,,,The output figures quoted are based on 10 C water input and ambient air temp,A distance of at least 20cm must be allowed between the sides back and the walls of the machines.,,,,,,,,,,,3766,1883,28/108,28108.jpg,Modular Ice Cuber Head Only,1826.51,,,
F302H,F302 Modular Ice Cuber Head Only,F302 Modular Ice Cuber Head Only,The Foster Ice Maker Range offers high output top quality ice production excellent build quality stylish good looks and a superb choice of models - all in one outstanding value-for-money package,Ice Maker,,,,,,The output figures quoted are based on 10 C water input and ambient air temp,A distance of at least 20cm must be allowed between the sides back and the walls of the machines.,,,,,,,,,,,4680,2340,28/114,28114.jpg,Modular Ice Cuber Head Only,2269.8,,,
DWC30,DWC30 30 litres per hour drink water cooler,DWC30 30 litres per hour drink water cooler,Easy access to refreshing Water Cooling is important for everyone's health. This is just what can be provided with Foster's range of competitively priced Drinking Water Cooler.,Drinks Service,,960,325,340,,,,,,,,,,,,,,1142,571,26/106,26106.jpg,30 litres per hour drink water cooler,553.87,325mm,340mm,960mm
DWC20DC,DWC20DC 20 litres per hour direct chill drink water cooler,DWC20DC 20 litres per hour direct chill drink water cooler,Easy access to refreshing Water Cooling is important for everyone's health. This is just what can be provided with Foster's range of competitively priced Drinking Water Cooler.,Drinks Service,,1030,325,340,,,,,,,,,,,,,,900,450,26/107,26107.jpg,20 litres per hour direct chill drink water cooler,436.5,325mm,340mm,1030mm
CTDWC30DC,CTDWC30DC Counter top 30 litres per hour direct chill drink water cooler,CTDWC30DC Counter top 30 litres per hour direct chill drink water cooler,Easy access to refreshing Water Cooling is important for everyone's health. This is just what can be provided with Foster's range of competitively priced Drinking Water Cooler.,Drinks Service,,400,280,520,,,,,,,,,,,,,,1008,504,26/108,26108.jpg,Counter top 30 litres per hour direct chill drink water cooler,488.88,280mm,520mm,400mm
