Product Code,Generic Product Type,Product Group,Catalogue Description,Additional Description,Product Type,Related Products,Gas or Electric,Power/Load,Height (mm),Width (mm),Depth (mm),Web USPs,Spec Sheet Code,UK (Jan 16),Weight (kg),Image Code,product_type_id,product_range_id,Width Feature,Depth Feature,Height Feature,Nett Price
C6R/75BU,Merchandisers and Display Cases,Seal,650 Range Curved Front Refrigerated Merchandiser,Back Service - under counter power pack,650 Range Curved Front Merchandisers,,electric,602 W,755,750,650,"* Understated elegant curved design with extruded aluminium frames and metallic silver finish enhances display without detracting from the contents <br>* Holds food at 3°C - 7°C in ambient conditions up to 25°C and 60% relative humidity <br>* R404a refrigerant is energy-efficient and non ozone-depleting so kinder to the environment <br>* Precise thermostatic control of cabinet temperature with digital display and high/low temperature warning <br>* ""Hot gas"" automatic defrost allows continuous operation with no loss of cabinet temperature for enhanced food safety <br>* Even daylight-balanced illumination to enhance display of contents with easy-change clip-in fluorescent light tubes <br>* Sleek design and chrome plated rod shelves are attractive and easy to clean <br>* Large display capacity - perfect for busy establishments <br>* Adjustable shelf heights provide flexibility to accommodate different sized products <br>* Double-glazed for improved energy efficiency and low running costs <br>* Consistent profile across refrigerated heated and ambient models allow for attractive space-saving modular installations <br>* Under-counter power pack for all round visibility to maximize food sales potential <br>* Suitable for back-service applications",SEAL650REFUNDER,2662,100,C6R-75BU.jpg,106,183,750mm,650mm,755mm,1530.65
C6R/75SU,Merchandisers and Display Cases,Seal,650 Range Curved Front Refrigerated Merchandiser,Self service - under counter power pack,650 Range Curved Front Merchandisers,,electric,602 W,755,750,650,"* Understated elegant curved design with extruded aluminium frames and metallic silver finish enhances display without detracting from the contents <br>* Holds food at 3°C - 7°C in ambient conditions up to 25°C and 60% relative humidity <br>* R404a refrigerant is energy-efficient and non ozone-depleting so kinder to the environment <br>* Precise thermostatic control of cabinet temperature with digital display and high/low temperature warning <br>* ""Hot gas"" automatic defrost allows continuous operation with no loss of cabinet temperature for enhanced food safety <br>* Even daylight-balanced illumination to enhance display of contents with easy-change clip-in fluorescent light tubes <br>* Sleek design and chrome plated rod shelves are attractive and easy to clean <br>* Large display capacity - perfect for busy establishments <br>* Double-glazed for improved energy efficiency and low running costs <br>* Consistent profile across refrigerated heated and ambient models allow for attractive space-saving modular installations <br>* Under-counter power pack for all round visibility to maximize food sales potential <br>* Suitable for self-service applications",SEAL650REFUNDER,2720,100,C6R-75BU.jpg,106,183,750mm,650mm,755mm,1564
CC3,Stainless Steel Fabrication/Furniture,Silverlink 600,Pedestal,Unheated,Pedestals - Open Top with Doors,,,,650-670,300,550,* Designed to support Silverlink 600 electric counter-top units<br>* Adjustable shelf provides flexibility<br>* Adjustable for perfect alignment on uneven floors<br>* Unheated<br>* Doors are designed to fit left or right handed for flexibility in kitchen planning,S-LINKPEDAMBD,286,14,CC4jpg,37,159,300mm,550mm,650-670mm,164.45
CC4,Stainless Steel Fabrication/Furniture,Silverlink 600,Pedestal,Unheated,Pedestals - Open Top with Doors,,,,650-670,450,600,* Designed to support Silverlink 600 electric counter-top units<br>* Adjustable shelf provides flexibility<br>* Adjustable for perfect alignment on uneven floors<br>* Unheated<br>* Doors are designed to fit left or right handed for flexibility in kitchen planning,S-LINKPEDAMBD,299,17,CC4jpg,37,159,450mm,600mm,650-670mm,171.925
CC6,Stainless Steel Fabrication/Furniture,Silverlink 600,Pedestal,Unheated,Pedestals - Open Top with Doors,,,,650-670,600,600,* Designed to support Silverlink 600 electric counter-top units<br>* Adjustable shelf provides flexibility<br>* Adjustable for perfect alignment on uneven floors<br>* Unheated<br>* Doors are designed to fit left or right handed for flexibility in kitchen planning,S-LINKPEDAMBD,334,22,CC6jpg,37,159,600mm,600mm,650-670mm,192.05
CC7,Stainless Steel Fabrication/Furniture,Silverlink 600,Pedestal,Unheated,Pedestals - Open Top with Doors,,,,650-670,750,600,* Designed to support Silverlink 600 electric counter-top units<br>* Adjustable shelf provides flexibility<br>* Adjustable for perfect alignment on uneven floors<br>* Unheated<br>* Doors are designed to fit left or right handed for flexibility in kitchen planning,S-LINKPEDAMBD,383,26,CC6jpg,37,159,750mm,600mm,650-670mm,220.225
CG4/N,Cooking Equipment,Silverlink 600,Chargrill,,Chargrills,SLS4 CN4,gas,14.3 kW,415,450,600,* Heat transfer radiants eliminate the need for messy lava rock<br>* Removable branding grids heat transfer radiants fat collection drawer and debris collection tray for easy cleaning<br>* Adjustable cooking grid and variable heat control for maximum controllability<br>* Heat retaining cooking grids produces clean sharp branding marks to enhance food presentation<br>* Twin heat zones,S-LINKGASCHAR,980,27,CG4.jpg,51,150,450mm,600mm,415mm,563.5
CG4/P,Cooking Equipment,Silverlink 600,Chargrill,,Chargrills,SLS4 CN4,gas,14.5 kW,415,450,600,* Heat transfer radiants eliminate the need for messy lava rock<br>* Removable branding grids heat transfer radiants fat collection drawer and debris collection tray for easy cleaning<br>* Adjustable cooking grid and variable heat control for maximum controllability<br>* Heat retaining cooking grids produces clean sharp branding marks to enhance food presentation<br>* Twin heat zones,S-LINKGASCHAR,980,27,CG4.jpg,51,150,450mm,600mm,415mm,563.5
CG6/N,Cooking Equipment,Silverlink 600,Chargrill,,Chargrills,SLS6 CN6,gas,14.3 kW,415,600,600,* Heat transfer radiants eliminate the need for messy lava rock<br>* Removable branding grids heat transfer radiants fat collection drawer and debris collection tray for easy cleaning<br>* Adjustable cooking grid and variable heat control for maximum controllability<br>* Heat retaining cooking grids produces clean sharp branding marks to enhance food presentation<br>* Twin heat zones,S-LINKGASCHAR,1300,34,C6G.jpg,51,150,600mm,600mm,415mm,747.5
CG6/P,Cooking Equipment,Silverlink 600,Chargrill,,Chargrills,SLS6 CN6,gas,14.5 kW,415,600,600,* Heat transfer radiants eliminate the need for messy lava rock<br>* Removable branding grids heat transfer radiants fat collection drawer and debris collection tray for easy cleaning<br>* Adjustable cooking grid and variable heat control for maximum controllability<br>* Heat retaining cooking grids produces clean sharp branding marks to enhance food presentation<br>* Twin heat zones,S-LINKGASCHAR,1300,34,C6G.jpg,51,150,600mm,600mm,415mm,747.5
CN3,Stainless Steel Fabrication/Furniture,Silverlink 600,Pedestal,,Pedestals - Open Top without Doors,,,,650-670,300,567,* Designed to support Silverlink 600 electric or gas counter-top units<br>* Adjustable shelf provides flexibility<br>* Adjustable for perfect alignment on uneven floors<br>* Unheated without doors,S-LINKPEDAMB,228,11,CN3.jpg,37,160,300mm,567mm,650-670mm,131.1
CN4,Stainless Steel Fabrication/Furniture,Silverlink 600,Pedestal,,Pedestals - Open Top without Doors,,,,650-670,450,567,* Designed to support Silverlink 600 electric or gas counter-top units<br>* Adjustable shelf provides flexibility<br>* Adjustable for perfect alignment on uneven floors<br>* Unheated without doors,S-LINKPEDAMB,239,14,CN3.jpg,37,160,450mm,567mm,650-670mm,137.425
CN6,Stainless Steel Fabrication/Furniture,Silverlink 600,Pedestal,,Pedestals - Open Top without Doors,,,,650-670,600,567,* Designed to support Silverlink 600 electric or gas counter-top units<br>* Adjustable shelf provides flexibility<br>* Adjustable for perfect alignment on uneven floors<br>* Unheated without doors,S-LINKPEDAMB,268,17,CN6.jpg,37,160,600mm,567mm,650-670mm,154.1
CN7,Stainless Steel Fabrication/Furniture,Silverlink 600,Pedestal,,Pedestals - Open Top without Doors,,,,650-670,750,567,* Designed to support Silverlink 600 electric or gas counter-top units<br>* Adjustable shelf provides flexibility<br>* Adjustable for perfect alignment on uneven floors<br>* Unheated without doors,S-LINKPEDAMB,307,19,CN6.jpg,37,160,750mm,567mm,650-670mm,176.525
CP16,Accessories & Options,Accessories & Options,1/1 Gastronorm Dish with Carvery Plate,,Accessory - Other,P6B2 P6B3 P8B3 P8B3PT P6B4 P8B4 P8B4PT P6B5 P8B5 P8B5PT P6B6 P8B6 P8B6PT,,,30,325,530,,,168,,,239,238,325mm,530mm,30mm,96.6
CS4,Cooking Equipment,Silverlink 600,Chip Scuttle,,Chip Scuttles,SLS4 CN4 CC4 HC4 HCL4,electric,0.5 kW,265,450,600,* Heated from below<br>* Removable tank and drain plate for easy cleaning<br>* Drain plate keeps contents crisp and fresh<br>* Easy access and better heat retention via hinged lid,S-LINKCHIP,412,15,CS4.jpg,11,151,450mm,600mm,265mm,236.9
CS4/G,Cooking Equipment,Silverlink 600,Chip Scuttle,With overhead gantry,Chip Scuttles,SLS4 CN4 CC4 HC4 HCL4,electric,1 kW,645,450,600,* Heated from above and below to maintain even temperature of food<br>* Overhead heat lamp imparts a warm glow for attractive presentation<br>* Removable 1/1 GN size chip container for ease of cleaning<br>* Drain plate keeps contents crisp and fresh,S-LINKCHIPG,621,17,CS4G.jpg,11,151,450mm,600mm,645mm,357.075
DF66/ST,Cooking Equipment,Silverlink 600,Fryer (Counter Top),Single tank,Fryers (Counter Top),BA96 SLS6 CN6 CC6 HC6 HCL6,electric,6 kW,335,600,600,* Front mounted controls ensure safe working practice<br>* Hinging element with safety cut-out provides easy access to tank for cleaning <br>* High quality grade 304 stainless steel fryer tanks fully welded to hobs for added strength and a smooth easy clean seamless finish<br>* Thermostatic control with fail-safe top temperature cut out maintains accurate oil temperature and ensures safe operation<br>* Heavy duty double nickel plated spun wire baskets batter plates and stainless steel lids supplied as standard,S-LINKFRYDF6,772,20,DF66ST.jpg,86,152,600mm,600mm,335mm,443.9
DF7/N,Cooking Equipment,Silverlink 600,Fryer (Counter Top),Twin tank,Fryers (Counter Top),SLS7 CN7,gas,16 kW,425,750,600,* Thermostatic control ensures accurate oil temperature control and consistently perfect results<br>* Safety features include top temperature cut-out to prevent overheating of oil and flame failure device<br>* Deep cool zone collects cooking debris - this gives cleaner cooking results and prolongs oil life saving you money<br>* Convenient pilot flame operation with piezo ignition<br>* Heavy duty double nickel plated spun wire baskets batter plates and stainless steel lids supplied as standard,S-LINKGASFRYDF,1896,46,DF7-gas.jpg,84,152,750mm,600mm,425mm,1090.2
DF7/P,Cooking Equipment,Silverlink 600,Fryer (Counter Top),Twin tank,Fryers (Counter Top),SLS7 CN7,gas,16 kW,425,750,600,* Thermostatic control ensures accurate oil temperature control and consistently perfect results<br>* Safety features include top temperature cut-out to prevent overheating of oil and flame failure device<br>* Deep cool zone collects cooking debris - this gives cleaner cooking results and prolongs oil life saving you money<br>* Convenient pilot flame operation with piezo ignition<br>* Heavy duty double nickel plated spun wire baskets batter plates and stainless steel lids supplied as standard,S-LINKGASFRYDF,1896,46,DF7-gas.jpg,84,152,750mm,600mm,425mm,1090.2
ECG6,Cooking Equipment,Silverlink 600,Electric Chargrill,,Chargrills,SLS6 CN6 CC6 HC6 HCL6,electric,8 kW,387,600,600,* High heat retention of cast iron grids means there is no waiting for the grill to recover to cooking temperature<br>* Hinging interlocked elements and integral water bath makes cleaning easier<br>* Integral splashguard with water funnel enables refilling of tank without cooling the cooking grid<br>* Water bath provides humidity keeping food succulent and reducing shrinkage<br>* High temperature safety cut out for protection if water bath runs dry,S-LINKELECCHAR,1180,28,ECG6.jpg,52,150,600mm,600mm,387mm,678.5
FDB10,Merchandisers and Display Cases,Seal,Food Display Bar,,Food Display Bars,DBWB DBL10 BSG10 SSG10 TA09 TA41 TA43 TA45 TA39 TA44 TA92 TA93 TA94,electric,175 W,245,2107,375,* Precise thermostatic control of well temperature with digital display and high/low temperature warning <br>* Holds food at 3°C-7°C in ambient conditions up to 25°C and 60% relative humidity <br>* Efficient R134a refrigerant ensures optimum performance whilst maintaining compact dimensions <br>* Well base and side refrigeration ensures even cooling throughout bar length <br>* Energy-efficient close-fitting gastronorm containers <br>* Attractive understated styling blends with any setting and enhances display for improved customer spend on food <br>* Fully welded stainless steel construction - robust hygienic and easy to clean <br>* Stylish low profile design holds 100mm deep gastronorm containers <br>* Optional back service glass self-service glass stainless steel hinged lid wall brackets gastronorm containers and lids,SEAL-FDB,1316,32,FDB10.jpg,105,185,2107mm,375mm,245mm,756.7
FDB4,Merchandisers and Display Cases,Seal,Food Display Bar,,Food Display Bars,DBWB DBL4 BSG4 SSG4 TA09 TA41 TA43 TA45 TA39 TA44 TA92 TA93 TA94,electric,175 W,245,1045,375,* Precise thermostatic control of well temperature with digital display and high/low temperature warning <br>* Holds food at 3°C-7°C in ambient conditions up to 25°C and 60% relative humidity <br>* Efficient R134a refrigerant ensures optimum performance whilst maintaining compact dimensions <br>* Well base and side refrigeration ensures even cooling throughout bar length <br>* Energy-efficient close-fitting gastronorm containers <br>* Attractive understated styling blends with any setting and enhances display for improved customer spend on food <br>* Fully welded stainless steel construction - robust hygienic and easy to clean <br>* Stylish low profile design holds 100mm deep gastronorm containers <br>* Optional back service glass self-service glass stainless steel hinged lid wall brackets gastronorm containers and lids,SEAL-FDB,1192,21,FDB4.jpg,105,185,1045mm,375mm,245mm,685.4
FDB5,Merchandisers and Display Cases,Seal,Food Display Bar,,Food Display Bars,DBWB DBL5 BSG5 SSG5 TA09 TA41 TA43 TA45 TA39 TA44 TA92 TA93 TA94,electric,175 W,245,1222,375,* Precise thermostatic control of well temperature with digital display and high/low temperature warning <br>* Holds food at 3°C-7°C in ambient conditions up to 25°C and 60% relative humidity <br>* Efficient R134a refrigerant ensures optimum performance whilst maintaining compact dimensions <br>* Well base and side refrigeration ensures even cooling throughout bar length <br>* Energy-efficient close-fitting gastronorm containers <br>* Attractive understated styling blends with any setting and enhances display for improved customer spend on food <br>* Fully welded stainless steel construction - robust hygienic and easy to clean <br>* Stylish low profile design holds 100mm deep gastronorm containers <br>* Optional back service glass self-service glass stainless steel hinged lid wall brackets gastronorm containers and lids,SEAL-FDB,1224,23,FDB5.jpg,105,185,1222mm,375mm,245mm,703.8
FDB6,Merchandisers and Display Cases,Seal,Food Display Bar,,Food Display Bars,DBWB DBL6 BSG6 SSG6 TA09 TA41 TA43 TA45 TA39 TA44 TA92 TA93 TA94,electric,175 W,245,1399,375,* Precise thermostatic control of well temperature with digital display and high/low temperature warning <br>* Holds food at 3°C-7°C in ambient conditions up to 25°C and 60% relative humidity <br>* Efficient R134a refrigerant ensures optimum performance whilst maintaining compact dimensions <br>* Well base and side refrigeration ensures even cooling throughout bar length <br>* Energy-efficient close-fitting gastronorm containers <br>* Attractive understated styling blends with any setting and enhances display for improved customer spend on food <br>* Fully welded stainless steel construction - robust hygienic and easy to clean <br>* Stylish low profile design holds 100mm deep gastronorm containers <br>* Optional back service glass self-service glass stainless steel hinged lid wall brackets gastronorm containers and lids,SEAL-FDB,1254,25,FDB6.jpg,105,185,1399mm,375mm,245mm,721.05
FDB8,Merchandisers and Display Cases,Seal,Food Display Bar,,Food Display Bars,DBWB DBL8 BSG8 SSG8 TA09 TA41 TA43 TA45 TA39 TA44 TA92 TA93 TA94,electric,175 W,245,1753,375,* Precise thermostatic control of well temperature with digital display and high/low temperature warning <br>* Holds food at 3°C-7°C in ambient conditions up to 25°C and 60% relative humidity <br>* Efficient R134a refrigerant ensures optimum performance whilst maintaining compact dimensions <br>* Well base and side refrigeration ensures even cooling throughout bar length <br>* Energy-efficient close-fitting gastronorm containers <br>* Attractive understated styling blends with any setting and enhances display for improved customer spend on food <br>* Fully welded stainless steel construction - robust hygienic and easy to clean <br>* Stylish low profile design holds 100mm deep gastronorm containers <br>* Optional back service glass self-service glass stainless steel hinged lid wall brackets gastronorm containers and lids,SEAL-FDB,1285,28,FDB8.jpg,105,185,1753mm,375mm,245mm,738.875
FPB5,Merchandisers and Display Cases,Seal,Food Preparation Bar,,Food Preparation Bars,DBWB PBL5 PBG5 TA71 TA38 TA85 TA45 TA39 TA44 TA92 TA93 TA94,electric,175 W,262,1225,375,* Precise thermostatic control of well temperature with digital display and high/low temperature warning <br>* Holds food at 3°C-7°C in ambient conditions up to 25°C and 60% relative humidity <br>* Efficient R134a refrigerant ensures optimum performance whilst maintaining compact dimensions <br>* Well base and side refrigeration ensures even cooling throughout bar length <br>* Energy-efficient close-fitting gastronorm containers <br>* Robust stainless steel construction - hygienic and easy to clean <br>* Holds 150mm deep gastronorm containers - ideal for busy establishments <br>* Optional back service glass stainless steel hinged lid gastronorm containers and lids,SEAL-FPB,891,25,FPB5.jpg,105,187,1225mm,375mm,262mm,512.325
FPB7,Merchandisers and Display Cases,Seal,Food Preparation Bar,,Food Preparation Bars,DBWB PBL7 PBG7 TA71 TA38 TA85 TA45 TA39 TA44 TA92 TA93 TA94,electric,175 W,262,1580,375,* Precise thermostatic control of well temperature with digital display and high/low temperature warning <br>* Holds food at 3°C-7°C in ambient conditions up to 25°C and 60% relative humidity <br>* Efficient R134a refrigerant ensures optimum performance whilst maintaining compact dimensions <br>* Well base and side refrigeration ensures even cooling throughout bar length <br>* Energy-efficient close-fitting gastronorm containers <br>* Robust stainless steel construction - hygienic and easy to clean <br>* Holds 150mm deep gastronorm containers - ideal for busy establishments <br>* Optional back service glass stainless steel hinged lid gastronorm containers and lids,SEAL-FPB,962,29,FPB7.jpg,105,187,1580mm,375mm,262mm,553.15
FWDG,Cooking Equipment,Food Warming Drawers,Food Warming Drawers,With 1/1 gastronorm dishes,Food Warming Drawers,,electric,1.5 kW,485,620,585,* Pre-set thermostat keeps food at constant temperature<br>* Humidity facility keeps contents moist for extended periods<br>* Full insulation ensures energy efficiency and safe cool surfaces and controls<br>* Large removable drawers for ease of cleaning<br>* Smooth action stainless steel runners,FOODWARMING,1442,48,FWDG.jpg,14,197,620mm,585mm,485mm,829.15
GC36,Merchandisers and Display Cases,Seal,Glass Display Cabinet,Without doors,Glass Display Cabinets,,,,490,600,350,* Toughened safety glass throughout with sturdy 10mm thick base glass and strong stainless steel shelf support brackets for extra rigidity <br>* Open back design <br>* 6mm thick removable shelves - safe and easy to clean <br>* Generous 150mm shelf height for versatile display of food and non-food items <br>* Good all-round visibility and polished glass edges - enhances visual appeal of displayed items and increases sales potential <br>* Non-slip rubber feet for extra safety and security,SEAL-GC,361,23,GC36.jpg,29,188,600mm,350mm,490mm,207.575
GC36D,Merchandisers and Display Cases,Seal,Glass Display Cabinet,With doors,Glass Display Cabinets,,,,490,600,350,* Toughened safety glass throughout with sturdy 10mm thick base glass and strong stainless steel shelf support brackets for extra rigidity <br>* Removable sliding rear doors <br>* 6mm thick removable shelves - safe and easy to clean <br>* Generous 150mm shelf height for versatile display of food and non-food items <br>* Good all-round visibility and polished glass edges - enhances visual appeal of displayed items and increases sales potential <br>* Non-slip rubber feet for extra safety and security,SEAL-GC,401,27,GC36D.jpg,29,188,600mm,350mm,490mm,230.575
GC39,Merchandisers and Display Cases,Seal,Glass Display Cabinet,Without doors,Glass Display Cabinets,,,,490,900,350,* Toughened safety glass throughout with sturdy 10mm thick base glass and strong stainless steel shelf support brackets for extra rigidity <br>* Open back design <br>* 6mm thick removable shelves - safe and easy to clean <br>* Generous 150mm shelf height for versatile display of food and non-food items <br>* Good all-round visibility and polished glass edges - enhances visual appeal of displayed items and increases sales potential <br>* Non-slip rubber feet for extra safety and security,SEAL-GC,401,32,GC39.jpg,29,188,900mm,350mm,490mm,230.575
GC39D,Merchandisers and Display Cases,Seal,Glass Display Cabinet,With doors,Glass Display Cabinets,,,,490,900,350,* Toughened safety glass throughout with sturdy 10mm thick base glass and strong stainless steel shelf support brackets for extra rigidity <br>* Removable sliding rear doors <br>* 6mm thick removable shelves - safe and easy to clean <br>* Generous 150mm shelf height for versatile display of food and non-food items <br>* Good all-round visibility and polished glass edges - enhances visual appeal of displayed items and increases sales potential <br>* Non-slip rubber feet for extra safety and security,SEAL-GC,465,38,GC39D.jpg,29,188,900mm,350mm,490mm,267.375
GC46,Merchandisers and Display Cases,Seal,Glass Display Cabinet,Without doors,Glass Display Cabinets,,,,645,600,350,* Toughened safety glass throughout with sturdy 10mm thick base glass and strong stainless steel shelf support brackets for extra rigidity <br>* Open back design <br>* 6mm thick removable shelves - safe and easy to clean <br>* Generous 150mm shelf height for versatile display of food and non-food items <br>* Good all-round visibility and polished glass edges - enhances visual appeal of displayed items and increases sales potential <br>* Non-slip rubber feet for extra safety and security,SEAL-GC,401,32,GC46.jpg,29,188,600mm,350mm,645mm,230.575
GC46D,Merchandisers and Display Cases,Seal,Glass Display Cabinet,With doors,Glass Display Cabinets,,,,645,600,350,* Toughened safety glass throughout with sturdy 10mm thick base glass and strong stainless steel shelf support brackets for extra rigidity <br>* Removable sliding rear doors <br>* 6mm thick removable shelves - safe and easy to clean <br>* Generous 150mm shelf height for versatile display of food and non-food items <br>* Good all-round visibility and polished glass edges - enhances visual appeal of displayed items and increases sales potential <br>* Non-slip rubber feet for extra safety and security,SEAL-GC,465,34,GC46D.jpg,29,188,600mm,350mm,645mm,267.375
GG1,Cooking Equipment,Lynx 400,Contact Grill,,Contact Grills,OS1 SS1,electric,3 kW,260,390,380,* Heavy duty model with smooth plates - hard working and beautifully stylish <br>* Large capacity <br>* Ideal for front-of-house use <br>* Seals in juices and flavour for succulent results - and minimal shrinkage <br>* Cast aluminium plates and mica heating elements for extremely even heat and precise control - perfect even for delicate products like omelettes <br>* PTFE base non-stick coating for ease of cleaning <br>* Spatula supplied,LYNXGG1,868,22,GG1.jpg,13,168,390mm,380mm,260mm,499.1
GR3,Cooking Equipment,Silverlink 600,Salamander Grill,,Salamander Grills,HT6/SB BR15 ABP03 GR3/WS GR3/BS GR3/FS,electric,3 kW,310,600,350,* Even heat distribution - for perfect grilling<br>* Easy to clean vitreous enamelled interior<br>* Five grill shelf positions <br>* Crumb tray and toasting grid included as standard,S-LINKELECSAL,404,17,GR3.jpg,65,161,600mm,350mm,310mm,232.3
GR3/BS,Accessories & Options,Accessories & Options,Bench Stand for GR3,,Accessory - Other,,,,,,,,,177,6,,114,206,,,,101.775
GR3/FS,Accessories & Options,Accessories & Options,Floor Stand for GR3,,Accessory - Other,,,,,,,,,310,18,,114,206,,,,178.25
GR3/N,Cooking Equipment,Silverlink 600,Salamander Grill,,Salamander Grills,ABP03 GR3/WS GR3/BS GR3/FS,gas,5 kW,405,600,350,* Powerful ceramic plaque burners<br>* Vitreous enamelled interior and hood for easy cleaning<br>* Cool to the touch handles<br>* Supplied with crumb tray and toasting grid as standard,S-LINKGASSAL,906,20,GR3-gas.jpg,64,161,600mm,350mm,405mm,520.95
GR3/P,Cooking Equipment,Silverlink 600,Salamander Grill,,Salamander Grills,ABP03 GR3/WS GR3/BS GR3/FS,gas,5 kW,405,600,350,* Powerful ceramic plaque burners<br>* Vitreous enamelled interior and hood for easy cleaning<br>* Cool to the touch handles<br>* Supplied with crumb tray and toasting grid as standard,S-LINKGASSAL,906,20,GR3-gas.jpg,64,161,600mm,350mm,405mm,520.95
GR3/WS,Accessories & Options,Accessories & Options,Wall Shelf for GR3,,Accessory - Other,,,,,,,,,115,,,114,206,,,,66.125
GR7/BS,Accessories & Options,Accessories & Options,Bench Stand for GR7,,Accessory - Other,,,,,,,,,203,7,,114,206,,,,116.725
GR7/FS,Accessories & Options,Accessories & Options,Floor Stand for GR7,,Accessory - Other,,,,,,,,,361,24,,114,206,,,,207.575
GR7/N,Cooking Equipment,Silverlink 600,Salamander Grill,,Salamander Grills,BR39 GR7/WS GR7/BS GR7/FS,gas,6.5 kW,405,750,350,* Powerful ceramic plaque burners<br>* Vitreous enamelled interior and hood for easy cleaning<br>* Cool to the touch handles<br>* Supplied with a double sided alloy branding plate and fat collection tray as standard,S-LINKGASSAL,1318,27,GR7-gas.jpg,64,161,750mm,350mm,405mm,757.85
GR7/P,Cooking Equipment,Silverlink 600,Salamander Grill,,Salamander Grills,BR39 GR7/WS GR7/BS GR7/FS,gas,6.5 kW,405,750,350,* Powerful ceramic plaque burners<br>* Vitreous enamelled interior and hood for easy cleaning<br>* Cool to the touch handles<br>* Supplied with a double sided alloy branding plate and fat collection tray as standard,S-LINKGASSAL,1318,27,GR7-gas.jpg,64,161,750mm,350mm,405mm,757.85
GR7/WS,Accessories & Options,Accessories & Options,Wall Shelf for GR7,,Accessory - Other,,,,,,,,,137,,,114,206,,,,78.775
GS3,Cooking Equipment,Silverlink 600,Griddle,Steel Plate with extra power,Griddles,SB3 SLS3 CN3 CC3 HC3 HCL3,electric,2 kW,330,300,600,* Solid 12mm thick machined steel plate ensures even heat distribution and excellent heat retention<br>* Fully-welded plates eliminate dirt traps<br>* Thermostatically controlled for consistent performance,S-LINKELECGRID,464,21,GS3.jpg,92,154,300mm,600mm,330mm,266.8
GS3/C,Cooking Equipment,Silverlink 600,Griddle,Hard Chrome Plated,Griddles,SB3 SLS3 CN3 CC3 HC3 HCL3,electric,2 kW,330,300,600,* Attractive hard chrome plating on a 12mm thick steel base gives a tough easy-clean finish and even heat distribution<br>* Reduced heat radiation into cooking area for comfortable working and lower energy costs<br>* Fully-welded plates eliminate dirt traps<br>* Thermostatically controlled for consistent performance,S-LINKGRIDCHR,1047,21,GS3C.jpg,93,154,300mm,600mm,330mm,602.025
GS4,Cooking Equipment,Silverlink 600,Griddle,Steel Plate,Griddles,SB4 SLS4 CN4 CC4 HC4 HCL4,electric,2.7 kW,330,450,600,* Solid 12mm thick machined steel plate ensures even heat distribution and excellent heat retention<br>* Fully-welded plates eliminate dirt traps<br>* Thermostatically controlled for consistent performance,S-LINKELECGRID,540,30,GS4.jpg,92,154,450mm,600mm,330mm,310.5
GS4/N,Cooking Equipment,Silverlink 600,Griddle,Steel Plate,Griddles,SB4 SLS4 CN4,gas,5.4 Kw,415,450,600,* Solid 12mm thick machined steel plate ensures even heat distribution and excellent heat retention<br>* Fully-welded plates eliminate dirt traps<br>* Thermostatically controlled for consistent performance,S-LINKGASGRID,903,36,GS4-gas.jpg,88,154,450mm,600mm,415mm,519.225
GS4/P,Cooking Equipment,Silverlink 600,Griddle,Steel Plate,Griddles,SB4 SLS4 CN4,gas,5.5 kW,415,450,600,* Solid 12mm thick machined steel plate ensures even heat distribution and excellent heat retention<br>* Fully-welded plates eliminate dirt traps<br>* Thermostatically controlled for consistent performance,S-LINKGASGRID,903,36,GS4-gas.jpg,88,154,450mm,600mm,415mm,519.225
GS4/C,Cooking Equipment,Silverlink 600,Griddle,Hard Chrome Plated,Griddles,SB4 SLS4 CN4 CC4 HC4 HCL4,electric,2.7 kW,330,450,600,* Attractive hard chrome plating  on a 12mm thick steel base gives a tough easy-clean finish and even heat distribution<br>* Reduced heat radiation into cooking area for comfortable working and lower energy costs<br>* Fully-welded plates eliminate dirt traps<br>* Thermostatically controlled for consistent performance,S-LINKGRIDCHR,1227,30,GS6C.jpg,93,154,450mm,600mm,330mm,705.525
GS4C/N,Cooking Equipment,Silverlink 600,Griddle,Hard Chrome Plated,Griddles,SB4 SLS4 CN4,gas,5.4 kW,415,450,600,* Attractive hard chrome plating  on a 12mm thick steel base gives a tough easy-clean finish and even heat distribution<br>* Reduced heat radiation into cooking area for comfortable working and lower energy costs<br>* Fully-welded plates eliminate dirt traps<br>* Thermostatically controlled for consistent performance,S-LINKGASGRID,1599,36,GS4C-gas.jpg,89,154,450mm,600mm,415mm,919.425
GS4C/P,Cooking Equipment,Silverlink 600,Griddle,Hard Chrome Plated,Griddles,SB4 SLS4 CN4,gas,5.5,415,450,600,* Attractive hard chrome plating  on a 12mm thick steel base gives a tough easy-clean finish and even heat distribution<br>* Reduced heat radiation into cooking area for comfortable working and lower energy costs<br>* Fully-welded plates eliminate dirt traps<br>* Thermostatically controlled for consistent performance,S-LINKGASGRID,1599,36,GS4C-gas.jpg,89,154,450mm,600mm,415mm,919.425
GS6,Cooking Equipment,Silverlink 600,Griddle,Steel Plate,Griddles,SB6 SLS6 CN6 CC6 HC6 HCL6,electric,3 kW,330,600,600,* Solid 12mm thick machined steel plate ensures even heat distribution and excellent heat retention<br>* Fully-welded plates eliminate dirt traps<br>* Thermostatically controlled for consistent performance,S-LINKELECGRID,624,38,GS6.jpg,92,154,600mm,600mm,330mm,358.8
